original_title,count
"Muldvarpejægeren eller Kunsten at fange Muldvarpe paa en tilforladelig, ganske sikker og morende Maade i Haver og paa Enge",2
Øgmun og Ragnhild,2
"Om Gigten og Podagraen, dens Aarsag, Væsen og Helbredelse",2
Allernpeste Ariebog 1833,2
Offentligt Regnskab,2
Den Gutmannske Families Reiser,2
Nye Testamenter,2
En Christens Tro og Vandel,2
Allernyeste Ariebog,2
Livsbilleder,2
Luthers Huuspostil,2
"Huusbonde og Tyende, som Begge bør være",2
Nyeste practisk Dyrlægebog,2
Tryllefløiten,2
Kong Salomon,2
Jørgen Hattemager,2
Anviisning til Dyrkning af Astragel,2
Wenzel Falk og hans Familie,2
Cronologisk Tabel til Brug for Præster ved aarlige Jndberetninger o. a. m.,2
Huusvennen,2
"Kongelige Reskripter, Resolutioner og Collegialbreve for Danmark og Norge",2
Dupins Værk,2
Historisk Vademecum,2
Napoleons Noveller,2
Constant og Elvire,2
Romancer for Pft. og Guitarre,2
En Sang til Eftertanke for Børn,2
Dansk Bibliothek,2
Stort Voxkabinet,2
Den velmenende Raadgiver,2
Frederiks Kirken i Wonsyld,2
Beskrivelse over Kiøbstæden Ribe fra sin Begyndelse til nærværende Tid,2
"Retssagen: Provst og Ridder Bentzon i Ringsted, contra: entlediget Skolelærer og Kirkesanger Brodersen i Nordrup",2
Anmærkninger til Sportelreglementet,2
Bidrag til Kundskab om de danske Provindsers nærværende Tilstand i bekonomisk Henseende,2
Familien Riquebourg,2
Opera omnia Theologica,2
Det sorte Hjerte,2
Kort Retskrivningslære for Lægfolk,2
Topographie over Wium Præstekald,2
Den lyksalige Friehed Jesu Lære,2
Den poetiske Kunst,2
De vigtigste Begivenheder under Danmarks Konger fra de ældste til vore nuværende Tider,2
Colloqvium Arithmeticum,2
Kortfattet Lærrebog i Geographien,2
Fuldstændig Fremmedordbog eller Lexicon over alle i vort Sprog brugelige fremmede Ord,2
Huldigung der Frauen,2
Caschenbuch for Damen,2
Musenalmanak,2
Caschenbuch der Liebe und Freundschaft gewidmet,2
Vergis mein nicht,2
Forelæsninger over den apostolske Kirkes Historie,2
Birchs bibelske Historie,2
Arven,2
Blomsternes Betydning paa østerlandsk Viis,2
Sophrosyne,2
Metriske Arbeider,2
Heibergs samlede Skrifter,2
Danmarks nærværende Tilstand,2
Magazin for Historie og Fortællinger,2
Velkommen,2
Tante og Niece,2
Fallesens Magazin for Religionslærere,2
Politiske Betragtninger med Blik paa Danmark og Holsteen,2
Skyggebilleder,2
Tvende Taler i Anledning af den høie Formælingsfest den 1 Novbr. 1828,2
Tritogenia,2
Frithiofs Saga,2
Volks=Kalender 1841,2
"Den lystige Lollænder eller nyeste Samling af moersomme Anecdoter, latterlige Tildragelser, skjemtsamme Jndfald, sindrige Fortællinger og vittige Svar",2
Justs Digte,2
Valeur & Compagnie,2
Et Tillæg til Peder Jensen eller Anviisning til en fornuftig Børne-Opdragelse,2
Psalmer og Sørgeprædiken,2
Memosyne eller Samling af fædrenelandske Minder og Skildringer,2
Den practiske Huusven,2
"Geistlig Stat, eller Fortegnelse over de Candidater",2
Corregio,2
Justs Fortællinger,2
Evangelisk kristelig Salmebog,2
"De to Brødre, eller: Forsoningen",2
"Tydsk Sproglære for Danske, i 2de Dele, 1 B",2
Havebog for Bondestanden,2
Bidrag til Kundskab om de danske Provindsers nærværende Tilstand i occonomisk Henseende,2
Phantasus. En Samling af danske Folkesagn,2
"Haandbog, for den læsende Ungdom",2
Ockonomiske Vink,2
"Justis Naturhistorie, Haandbog",2
Fred med de Døde,2
Agerdyrkningens Tilstand i Nørre-Jylland,2
Bøn,2
Læsebog,2
Kingos Psalmebøger,2
Almanakker,2
2den Deel af Guldbergs Digte,2
"Den lystige Lollænder, eller nyeste Samling af moersomme Anecdoter, latterlige Tildragelser, skjemtsomme Jndfald, sindrige Fortællinger og vittige Svar",2
Hornemanns Plantelære,2
min Haandbog for læsende Ungdom,2
"Memosyne, eller Samling af fædrenelandske Minderog Skildringer",2
"Sammenlignet Oversigt over Communal- og MunicipalIndretninger, Justitsvæsenet, Geistligheden, Skolevæsenet, det Militaire, Sømagten, Handelen, Postvæsenet og Regjeringen",2
Regler for Livet,2
Bugges Lommekalender 1812,2
Bjørns Geometri,2
Ivanhoe,2
Om det protestantiske Princip i den christelige Kirke,2
Evangelibøger,2
"Anreden und Gebete, zum Gebrauche bey dem Gemeinschaftlichen, und auch dem hauslichen Gottesdienste",2
Carmen seculare trepartitum,2
Strøms Forstandsøvelser,2
Haandbog for Læsende Ungdom,2
"Flora, eller almeennyttig Haandbog for Blomsteryndere",2
Jndtægt og Udgivets Lommebog for Aaret 1811,2
Grundsætninger for Landoeconomien,2
"De vig igste indenlandske Tildragelser, og de mærkeligste Personers Levnetsbeskrivelser fra de ældste Tider til vore Dage",2
Til de svenske Krigere,2
Kogebog paa Vers,2
Topographi over Øen Langeland,2
En almindelig Bøn,2
Wilds praktiske Universal-Raadgiver for Borger og Landmand,2
"De lystige Passagerer, eller: Arvingerne fra Vestindien",2
theologisk Maanedsskrivt,2
Materialier til Samtaler over Gienstande af den plane Geometrie,2
bibelhistorie,2
Samling af Historiske Efterretninger om Danske Søe-Officerer i alphabetisk Orden,2
Evangelisk christelig Palmebog,2
Skrivkalendere for 1814,2
Kanarifuglen,2
Røverstuen,2
Reiselyren,2
"Plettebog, eller Underretning om at tage ved sikre Midler alle Slags Pletter af Silke, Fløil og Klæde",2
Faruk,2
Schillers Røvere,2
Dams Abe og Læsebog,2
Bellona,2
En chemisk Opgave løst ved poetiske Midler,2
Katechetik eller den practiske Theologies andet Hovedstykke,2
Chronica Starupodeichmanniana,2
Sallustius editione Thorlacii,2
Nicolai Kirke i Nakskov paa Nyaarsmorgen 1827,2
A. B. C. og Læsebog,2
Tillæg til Peder Jensen eller Anviisning til en fornuftig Børne Opdragelse,2
Udførlig Forklaring over den nye authoriserede Udgave af Luthers liden Catechismus,2
Christelig Samler,2
Pontoppidans danske Atlas,2
Den lystige Lollænder eller nyeste Samling af noersomme Anecdoter,2
Peder Jensens ABC og Læsebog,2
Erindringer af mit Liv,2
Anviisning til paa den naturligste Maade at lære at læse,2
Lærebog i den Evangelisk-christelige Religion,2
De befalede Carchismusser,2
Bibelhistorier,2
Harald Graafelds Jagt,2
Kritisk Undersøgelse af Starups og Deichmanns offentlige Mellemværende,2
"Tale, holden den 6te October 1813 i det LollandsFalsterske Selskab til Oplysningens og Jndustriens Fremme",2
Navneværdie Bogen,2
Forordnet Alterbog udi Dannemark,2
"Latinsk, Læsebog for Begyndere",2
Høsts Formularbog,2
"De Franskes Keiser, Napoleon Bonapartes Levnet",2
Høitids Psalmer til Tusindaars-Festen,2
"Christus, Veien til Faderen",2
Latinsk Læsebog for Begyndere,2
Oplysninger og bemærkninger Afbetjening i Bondesagen,2
Lehebuch zur Bildung des Verstandes und des Geschmacks,2
bibelske Historier,2
Napoleon Buonapartes Reise fra Fontainebleau til Frejus,2
Propatria No. 2,2
Magnetismen i Barbeerstuen,2
Grundvold til Menneskets Lyksalighed,2
"Tjenestekarlen, som han bør være",2
Kingos storstilede Plalmebøger,2
Exempelsamling til Brug ved Religionssunderviisningen for Ungdommen,2
Wilstrups anden Læsebog,2
Rosa Polka for Planoforte,2
Grundsætninger i Landoeconomien,2
Franzosisches Lesebuch für Anfanger,2
Dams A BC og Læsebog,2
Dramatisk Lommebog,2
Aftrykket af de indbyrdes Underviisningstabeller,2
Historie af Danmark fra de ældste Tider til 1182,2
Ebbe Skamels Forvildelse,2
Zollicofers Andagtsbog,2
Ørsteds Formularbog,2
Lov og Ret for Herremænd og Bønder,2
Laaneren,2
Concert for Pianosorte,2
A B C og Læsebog,2
Variationer for Pianosorte,2
Catechismusser,2
De vigtigste indenlandske Tildragelser og de mærkeligste Personers Levnetsbeskrivelser fra de ældste Tider til vore Dage,2
Concert for Violin,2
Variationer for Valdhorn,2
Schades Beskrivelse over Marsøe,2
Jeppe paa Bjerget,2
Variationer for Guitarre,2
Engelsk Landliv,2
En Døgenigts Levnet,2
En Stemme om Skatte=Ligning efter Formue og Vilkaar,2
Wilstrups Læsebog,2
Om Vaabenøvelse og Fredsmandeuvrer,2
Stemninger og Tilstande,2
En polsk Familie,2
Giftermaalet eller de blev taget ved Næsen,2
Keiser Napoleons Levnet,2
Reise i Sverrig Aar 1838,2
Jordbærret,2
De Uadskillelige,2
"Opdagelserne, eller: Elskeren som Musikant",2
Die Vorposten der leichten Kavallerie,2
Prindsen af China,2
Robinson i England,2
Carolus Magnus,2
Ossians Svanesang,2
Forsøg til en Veiledning for Skolelærere til at bibringe Ungdommen Regning ud af Hovedet,2
"Alphabetisk Fortegnelse over Provindsialbogsamlingen i Mariboe, 1ste Deel",2
Almeenfattelig Forklaring over Klasselotteriets nuværende Jndretning,2
Romantiske og historiske Fortællinger,2
Digtninge,2
Aanden i Garnensteins Ruiner,2
Samling af Prædikener for hele Aaret,2
Eventyr,2
Veiledning for Bonden til selv at opmaale og aflægge Kort over sine Jorder,2
Ridderen med det blaa Skjerf,2
De pudseerlige Arvinger,2
Provindsial-Lexicon over Danmark,2
Samling af Prædikener over de til Søndagene og Festerne anordnede Texter,2
Moderholm,2
Noveller,2
Flygtningen,2
"Kjærminder, eller de lykkelige Dage",2
FædrenelandsHistorie,2
"Dionysius den Halikarnassers Fortælling om Roms Damer og Fruentimre, der reddede deres Fædreneland fra at falde i fjendtlige Hænder",2
Bugges daglige Lommebog,2
Adrienne. Historisk romantisk Skildring,2
"Kometen, eller Maanedsskrivt for underholdende Læsning",2
Fallesens Qvartalskrift,1
Scometria Tyronica,1
"Af Leopoldine, en plycologisk Roman",1
Historte om den trediveaarige Krig,1
"Colloqvium Arithmeticum, eller Veiledning til selv at lære sig at regne",1
"Schlegels Natur=Ret, 1ste og 2den Deel",1
Om Smaabørns Pleie og Behandling i physisk og moralsk Henseende,1
Kjøbenhavns Universitets Aarbog for 1841,1
Min Meening om den nye Trykkeforordning,1
"Lynna, Nytaarsgave 1810",1
Skoleannaler,1
Livets Hverdagsbegivenheder,1
De almindelige Conversationsgjenstande,1
Omgangslivet,1
Clara de Plessis og Clairant,1
Framställing af nagra bland de wigtigare fragorna wid Riksdagen ar 1840,1
"Holger Laxmands Historie, eller Fortællinger",1
En juridisk Afhandling om Arv og Skifte=Behandling,1
Sphæra Tyronica,1
Haandbog i nyttige Kunster og Haandarbeider,1
Lintrups Mathematik,1
En nye Abecee,1
Af Leopoldine,1
Norges Storthing i Aaret 1833,1
Klugels Encyclopedie,1
Lile Magie eller Uddrag til Nytte og Moroe for Kunstelskere og Enhver,1
Fredmanns Epistler og Sange,1
"Fortrolige Breve til en Ven, skrevne fra Eidsvold i Aaret 1814",1
"Forsoningen, eller Comedien nær Graven",1
theologisk Maanedskrivt for Fædrelandets Religionslærere,1
"Lærde Lexicon, om nogen som er Eier af de 2 første skulle have Lytil den 3die og sidste Deel",1
