input,output,parsed
"Paa Addresse-Contoiret i Mariboe kan bekommes Tilkjøbs: Videnskabelig Fortegnelse over Provindsialbogsamlingen i Mariboe. Ordnet, trykt og forlagt af C. E. Schulz. 1ste Deel, som indeholder Litteraturog Litterair-Historie. Encyclopæder. De skiønne Kunster og Videnskaber, nemlig Romaner og Comoedier.","original_title: Videnskabelig Fortegnelse over Provindsialbogsamlingen i Mariboe
translated_title: Scientific Catalogue of the Provincial Library in Mariboe
author: C. E. Schulz","[('videnskabelig fortegnelse over provindsialbogsamlingen i mariboe', 'c. e. schulz')]"
"Under denne Titel agtet Procurator Joh. NicHøst paa Undertegnedes Forlag at udgive en - saavidt mueligt kort og fuldstændig Udsigt over det af vore gjeldende Love, der synes fortrinligen at burde kjendes af hver dansk norsk Undersaat i hvilkensomhelst Stilling.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Fra Bogtrykkeriet i Mariboe er nylig udkommen: Om Dyrkningsmaaden af Asparges. Udgivet af Sognepræsten i Nebbelunde Hr. Th. Trojel, som paa Addresse=Contoiret kan bekommes tilkjøbs for 24 s.","original_title: Om Dyrkningsmaaden af Asparges
translated_title: On the Cultivation Method of Asparagus
author: Th. Trojel","[('om dyrkningsmaaden af asparges', 'th. trojel')]"
"Tilkjøbs. Hos Overlærer ved den lærde Skole i Nakskov J. J. Stephansen, kan bekommes tilkjøbs: Latinsk, Læsebog for Begyndere. Kbh. 1812.","original_title: Latinsk, Læsebog for Begyndere
translated_title: Latin, Reader for Beginners
author: NO_AUTHOR","[('latinsk, læsebog for begyndere', 'no_author')]"
"Paa Addresse-Contoiret i Mariboe kan bekommes tilkjøbs: Meget godt Conceptpapiir for 3 Mk. Rbd. Navneværdie Bogen; ubeskaaret Postpapiir, Lærebøger i den evangelisk christelige Religion, indrettet til Brug i de danske Skoler; A. B. C. Bøger, Catechismusser; Almanakker for 1815; Afregnings-Bøger for Cavallerister; Følgesedler for Lægdsmænd, Fortegnelse over Provindsialbogsamlingen, 1ste Deels 1ste Hefte og fiint Lak¬","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Paa Addresse-Contoiret faaes: De Franskes Keiser Napoleons Levnet, ved J. K.","original_title: De Franskes Keiser Napoleons Levnet
translated_title: The Life of the French Emperor Napoleon
author: J. K.","[('de franskes keiser napoleons levnet', 'j. k.')]"
"Underviisning i Religionen for Ungdommen, med Hensyn til den anordnede Lærebog i den Evangelisk-Christelige Religion, af Andreas Krag Holm. Andet forøgede Oplag Kbh. 1813. 4 Rbd.","original_title: Underviisning i Religionen for Ungdommen, med Hensyn til den anordnede Lærebog i den Evangelisk-Christelige Religion
translated_title: Instruction in Religion for the Youth, with Regard to the Prescribed Textbook in the Evangelical-Christian Religion
author: Andreas Krag Holm","[('underviisning i religionen for ungdommen, med hensyn til den anordnede lærebog i den evangelisk-christelige religion', 'andreas krag holm')]"
"De vigtigste indenlandske Tildragelser og de mærkeligste Personers Levnetsbeskrivelser, fra de ældste Tider til vore Dage. En Læse- og Lærebog i Fædrelandets Historie, for Begyndere og Ustuderede, ved C. Munthe. Kbh. 1813. 4 Rbd. indb.","original_title: De vigtigste indenlandske Tildragelser og de mærkeligste Personers Levnetsbeskrivelser, fra de ældste Tider til vore Dage
translated_title: The Most Important Domestic Events and the Most Remarkable Persons' Biographies, from the Earliest Times to Our Days
author: C. Munthe","[('de vigtigste indenlandske tildragelser og de mærkeligste personers levnetsbeskrivelser, fra de ældste tider til vore dage', 'c. munthe')]"
"Brevbog for Ungdommen, med Anviisning til tydelig, ordentlig og rigtig Udtryksmaade i Breve og andre skrivtlige Udarbeidelser. Efter der kleinCorrespondent oversat og udarbeidet af K. R. Thoring. Kbh. 1506. 3 Rbd. En Bog, der burde indføres i enhver Skole.) Rasmussens A. B. C. Bog med sorte billeder. .","""original_title: Brevbog for Ungdommen""
""translated_title: Letter Book for the Youth""
""author: K. R. Thoring""

""original_title: Rasmussens A. B. C. Bog med sorte billeder""
""translated_title: Rasmussen's A. B. C. Book with Black Pictures""
""author: NO_AUTHOR""",[]
"Nye Kogebog, eller Anviisning til at koge, bage, stege, indsylte, henlægge, indslagte, anrette og s. v., af C. Jacobsen, Kok hos Hans Excellence Generallieutenant Ahlefeldt, Laurvig paa Tranekjær Slot, et nyelig udkommet paa Forfatterens Forlag hos S. Hempel i Odense. Prisen er 5 Rbd. N. V. Trykpapir. Hos Hr. Kjøbmand Wachmann i Nakskov er indlagt endeel Exemplater.","original_title: Nye Kogebog, eller Anviisning til at koge, bage, stege, indsylte, henlægge, indslagte, anrette og s. v.
translated_title: New Cookbook, or Instructions for Boiling, Baking, Roasting, Preserving, Storing, Butchering, Serving, etc.
author: C. Jacobsen","[('nye kogebog, eller anviisning til at koge, bage, stege, indsylte, henlægge, indslagte, anrette og s. v.', 'c. jacobsen')]"
"De vigtigste indenlandske Tildragelser og de mærkeligste Personers Levnetsbeskrivelser, fra de ældste Tider til vore Dage. En Læse- og Lærebog i Fædrelandets Historie, for Begyndere og Ustuderede, ved F. Munthe. Kbh. 1813. 4 Rbd. indb. De mærkeligste Personers Levnetsbeskrivelse og de vigtigste Tildragelser igjennem alle Tidsaldere, tilgemed et Udtog. En Lærebog i Historien for de første Begyndere, ved F. Munthe, Overlærer, Kbh. 1804. 3 Rbd. 2 Mk.","""original_title: De vigtigste indenlandske Tildragelser og de mærkeligste Personers Levnetsbeskrivelser, fra de ældste Tider til vore Dage""
""translated_title: The Most Important Domestic Events and the Most Remarkable People's Biographies, from the Earliest Times to Our Days""
""author: F. Munthe""

""original_title: De mærkeligste Personers Levnetsbeskrivelse og de vigtigste Tildragelser igjennem alle Tidsaldere, tilgemed et Udtog""
""translated_title: The Most Remarkable People's Biographies and the Most Important Events Through All Ages, Together with an Extract""
""author: F. Munthe""",[]
"Nye Kogebog, eller Anviisning til at koge, bage, stege, indsylte, henlægge, indslagte, anrette, o. s. v. Bogen bestaaer af 31 Capitler, og fortjener især at anbefales for sin Almeenfattelighed og Brugbarhed. Prisen er 5 Rbd. N. V. Ovennævnte Kogebog kan ogsaa faaes hos Hr. Kjøbmand Carlsdorph i Saxkjøbing.","original_title: Nye Kogebog, eller Anviisning til at koge, bage, stege, indsylte, henlægge, indslagte, anrette, o. s. v.
translated_title: New Cookbook, or Instructions for Cooking, Baking, Roasting, Preserving, Storing, Slaughtering, Serving, etc.
author: NO_AUTHOR","[('nye kogebog, eller anviisning til at koge, bage, stege, indsylte, henlægge, indslagte, anrette, o. s. v.', 'no_author')]"
"Fine røde engelske Blyanter til at tegne med 5 Rbmk. Stkt., Tudsk, af alle Farver, til at tegne med, a 2 Rbd. hvert Stykke. Forgyldt Papiir. 1 Mk. 8 s. Arket. Alle Sorter Couleurt Papir. 1 Rbmk. Arket.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Paa Addresse-Contoiret faaes: De vigtigste indenlandske Tildragelser og de mærkeligste Personers Levnetsbeskrivelser, fra de ældste Tider til vore Dage. En Læse- og Lærebog i Fædrelandets Historie, for Begyndere og Ustuderede, ved E. Munthe. Kbh. 1813. 4 Rbd. indb.","original_title: De vigtigste indenlandske Tildragelser og de mærkeligste Personers Levnetsbeskrivelser, fra de ældste Tider til vore Dage
translated_title: The Most Important Domestic Events and the Remarkable Persons' Biographies, from the Earliest Times to Our Days
author: E. Munthe","[('de vigtigste indenlandske tildragelser og de mærkeligste personers levnetsbeskrivelser, fra de ældste tider til vore dage', 'e. munthe')]"
"Bind. Viborg 1817. Prisen er 1 Rbdlr. N. V. Mariboe, den 28de Julii 1817. J. C. Larsen. Paa Addresse-Contoiret faaes: Lærebog i den Evangelisk-christelige Religion, indrettet til Brug i de danske Skoler, 4 Rbmk.","original_title: Lærebog i den Evangelisk-christelige Religion
translated_title: Textbook in the Evangelical-Christian Religion
author: NO_AUTHOR","[('lærebog i den evangelisk-christelige religion', 'no_author')]"
"Paa Addresse-Contoiret faaes. Lærebog i den Evangelisk christelige Religion, indrettet til Brug i de danske Skoler, 4 Rbmk.","original_title: Lærebog i den Evangelisk christelige Religion
translated_title: Textbook in the Evangelical Christian Religion
author: NO_AUTHOR","[('lærebog i den evangelisk christelige religion', 'no_author')]"
Jntet Folk i Europa er efter det Engelske saa meget bebyrdet med Skatter som det Hollandske.,"""original_title: NO_BOOK""
""translated_title: NO_BOOK""
""author: NO_BOOK""",[]
"Tilkjøbs. Efter flere af Dhrr. Lægers Ønske haver jeg forskreven, directe fra Holland de meget berømte hollandske Feberpulver Poudres febrifuges de Fresearode og Ormekager, som nyelig er arriveret; ligeledes kan ægte fransk Gigt Taft, nyt Seltzer, Pyrmonter og Fachinger- Band bekommes. L. Mohr.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Tilkjøbs. Paa Addresse-Contoiret kan bekommes tilkjøbs, fiin hollandsk Conceptpapiir, 1 Mk. 8 s.; fiint dito Propatria, 3 Mk. 8 s.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Bekjendtgjørelser. For de Skolebestyrelser, som ved det nye Skoleaars Begyndelse ville indføre Pastor 6. D. S. Birchs Læsebog, Naturen, Mennesket og Borgeren, bekjendtgjøres: at denne Læsebog for øverste Classeer tilkjøbs hos Skolelærerne B. Moritsen i Saxkjøbing og Fæster i Veiringe paa","original_title: Naturen, Mennesket og Borgeren
translated_title: Nature, Man and Citizen
author: S. D. S. Birch","[('naturen, mennesket og borgeren', 's. d. s. birch')]"
Ved Tallotteriets 1017 Træning i Wandsbeck udkom: No. 90. 54. 4. 21. 70.,"original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"De vigtigste indenlandske Tildragelser og de mærkeligste Personers Levnetsbeskrivelser fra de ældste Tider til vore Dage o. s. v. ved E. Munthe. 3die Oplag, med et Tillæg af Dr. G. L. Baden. Kbhvn. 1820. 16 Mk.","""original_title: De vigtigste indenlandske Tildragelser og de mærkeligste Personers Levnetsbeskrivelser fra de ældste Tider til vore Dage""
""translated_title: The Most Important Domestic Events and the Most Remarkable Persons' Biographies from the Earliest Times to Our Days""
""author: E. Munthe""",[]
"Bekjendtgjørelser. Nye Lodsedler til det 75de Lotteries 1ste Classe, kunne bekommes for 2 Rbdlr. Stykket hos Collecteur, Christensen i Rødbye.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
P. Hansen. Nye Lodsedler til det 77de Lotteries 2den Classekunne bekommes hos Collecteur Christensen i Nødbye for 4 og 6 Rbd. Stykket.,"original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Nicolai Kirke i Nakskov paa Nyaarsmorgen 1827, af S. P. Brammer, faaes heftet for 20 s. hos Bogbinder L. Østerriis i Nakskov.","original_title: Nicolai Kirke i Nakskov paa Nyaarsmorgen 1827
translated_title: Nicolai Church in Nakskov on New Year's Morning 1827
author: S. P. Brammer","[('nicolai kirke i nakskov paa nyaarsmorgen 1827', 's. p. brammer')]"
"Følgende nylig udkomne Bøger faaes hos Giegengacki Mariebo: Geistlig Stat, eller Fortegnelse over de Candidater, som have underkastet sig den theologiske Embeds-Exammen ved Kjøbenhavns Universitet efter 7de Mai 1788, med Vedtegninger.","original_title: Geistlig Stat, eller Fortegnelse over de Candidater, som have underkastet sig den theologiske Embeds-Exammen ved Kjøbenhavns Universitet efter 7de Mai 1788, med Vedtegninger
translated_title: Clerical State, or List of the Candidates who have undergone the Theological Examination at the University of Copenhagen after May 7, 1788, with Annotations
author: NO_AUTHOR","[('geistlig stat, eller fortegnelse over de candidater, som have underkastet sig den theologiske embeds-exammen ved kjøbenhavns universitet efter 7de mai 1788, med vedtegninger', 'no_author')]"
"Bekjendtgjørelser. Subscriptionsplan. Om nogen Tid agter Undertegnede at udgive: En Kogebog paa Vers, indeholdende Kager og nogle andre Retter. De fleste Opskrivter ville kunne synges efter bekiendte Melodier. Som Prøve herpaa: Prindsesse-Budding.","original_title: En Kogebog paa Vers  
translated_title: A Cookbook in Verse  
author: NO_AUTHOR","[('en kogebog paa vers', 'no_author')]"
"Tilkjøbs. Dobbelt destilleret Kommen Brændeviin, 28 s. Potten, og gl. fransk Viin-Edike, 20 s. Potten, faaes i Nykjøbing hos R. Sidenius.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
Med de Herrer Forfatteres Tilladelse besørges de to kronede Afhandlinger udgivne af Selskabet.,"original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Bekjendtgjørelser. Beretning fra Selskabet til Hesteavlens Fremme i de danske Provindser, tilligemed Regnskab for 1832 og Fortegnelse over Selskabets Medlemmer, er udkommen og kan af Medlemmerne erholdes hos de Herrer Amtsforvaltere, hvor tillige findes Planer, hvorpaa ny Deeltagere kunne tegne sig.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Staahl. Koefoed. Hansen. Skuespil i Nykjøbing. (Sidste Forestilling.) Mandagen den 31te Marts opføres: ""Christens Hjemkomst (en Fortsættelse af Christen og Christine,), Lystspil i 1 Act af Scribe, og ""De Danske i Paris"", Vaudeville i 2 Acter af J. L. Heiberg. Til Slutning: Afskeds-Epilog. NB. Musikken til Vaudevillen udføres af Hr. Stadsmusikus Eigler.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Damernes Pynt- og Conversations=Æske (tildeels efter Pariser-Snit). Priis 12 s. Fingersproget, med en Kobberplade indeholdende 27. stukne Haandfigurer. Denne interessante Udgave faaes for 24 s. Udkommen er: Om Betydningen af den christelige Kirkes Bekjendelse, en Critik af Magister Møllers Futhersk christelige Stridsskrivt imod Pastor Grundtvig, af C. C. Boisen. - Faaes for 3 Mk. hos Giegengack i Mariebo.","""original_title: Om Betydningen af den christelige Kirkes Bekjendelse""
""translated_title: On the Significance of the Christian Church's Confession""
""author: C. C. Boisen""",[]
"Literatur. Nyt og billigt Ugeblad. Under Titel af: ""Nyeste Aftenpost, udkommer fra Nytaar et Blad tvende Gange om Ugen, trykt i Qvart, indeholdende Moerskabslæsning m. m. Prisen er kun 26 Skilling om Qvartalet; men enkelte No. sælges ikke. Subskription modtages af Hr. Giegengack i Mariebo.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Bekjendtgjörelser. Fra Pressen er udkommen: Visebog for Lolland og Falster, indeholdende: Sange for Kongen og Fædrelandet, Drikkeviser og Selskabssange, og blandede Sange, og faaes hos Dhrr. Giegengack i Maribo, Thierry i Nakskov, og her i Byen hos Dhrr. Procurator Tidemand og Boghandler Berggreen, samt hos Undertegnede. Bogladeprisen er 61 s. Nykjøbing den 24de Januar 1837.","original_title: Visebog for Lolland og Falster  
translated_title: Songbook for Lolland and Falster  
author: NO_AUTHOR","[('visebog for lolland og falster', 'no_author')]"
"Bøger. Psalmebøger til forskjellige Priser, og af forskjellig Jndbinding, passende for Confirmanter, samt de anordnede Skudsmaalsbøger, tilligemed de almindelige og meest brugelige Skolebøger, bekommes til enhver Tid billigt hos Bogbinder J. Madsen i Nykjøbing.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Dette Skrift anbefales i Hempels Avis meget fordeelagtigt. ""Skriftet, hedder det der, som er udarbeidet med overordentlig Flid, vil have Jnteresse ikke alene for Mosaiterne, men for enhver Jurist og Geistlig, der vil lære Kirkehistoriens Detail at kjende."" Rulle. Hos Kjøbmand Gram kan en Rulle daglig afbenyttes. For 200 Stokke betales 8 s. og for enkelte Stokke 1/2 s.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Bekjendtgjørelser. Jfølge derom modtaget Beretning, er ved Bøttøe Landpaa Falster i Østersøen funden circa 500 Pd. Blye i store Stykker paa 20 og flere Pd. hvert Stykke forsynet med følgende Mart. I. L. R. V. S. G. H. H.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Da jeg har begyndt med at give Underviisning i Dands, saavel for Voxne som Børn, saa bekiendtgiøres saadant herved til behagelig Efterretning for dem, som endnu maatte ønske min Underviisning, med Tilføiende, at de vilde behage at melde sig hos Madame Helverschou paa Algaden ved Budolphi Kirke. Aalborg den 14de Marts 1819. Joh. Frid. Zangenberg, Musicus ved 2det J. J. Reg. og Lærer, i Dandsekonsten.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Nylig har forladt Pressen, Homers Jliade. Første Rapsodie. Oversat. Den faaes paa Addresse-Contoitet for 2 Mk. heftet.","original_title: Homers Jliade. Første Rapsodie
translated_title: Homer's Iliad. First Rhapsody
author: NO_AUTHOR","[('homers jliade. første rapsodie', 'no_author')]"
"Paa Addresse-Contoiret faaes: Bønnen som læses ved Ungdommens Confirmation, aftrykt paa fint Papiir og smukt indbunden 16 s.; paa Trykpapiir i couleurt Omslag, 8 s.; i blaat Omslag 6 s.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Jtaliensk Nodepapir for Claveer og Fløite samt Fioliner 11 Rbmk. Bogen, Collefolium, Flolin Skruer, Stole, Dem pere, Clarinetblade, Guitar=Strænge, Fiolin dito, samt nye Musikalier m. m. Alt hvad som henhører til Musiksaget besørges og leveres til samme Priis som i Kiøbenhavn af Rottbøll Sadolin, Boghandler og Bogbinder.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Et Værelse med Kakkelovn og Seng, kan strax erholdes til Leie, paa Vestergade No. 48. Kort Jordbeskrivelse især til Brug i Almueskolerne, ved R. Sadolin, Sognepræst, indb. 2 Mk., taaes hos Rottbøll Sadolin, Boghandler og Bogbinder.","original_title: Kort Jordbeskrivelse især til Brug i Almueskolerne
translated_title: Short Description of the Earth Especially for Use in Public Schools
author: R. Sadolin","[('kort jordbeskrivelse især til brug i almueskolerne', 'r. sadolin')]"
"Tirsdagen den 16de Januar forsvarte Stud. J. C. Hauch (en Søn af Herr Overhofmarskalken) sin for Doctorgraden skrevne Afhandling: Annotationes at motumarbitrarium, cum organis ad motum pertinentibus comparatum, in animalibus, vertebriis instructisRespondens er Hr. Cand. Philos. C. Lütken.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Danske Markblomster, Nytaarsgave for Skuespilyndere, 1822, af J. Wildt, faaes indbunden for 9 Mk. hos Vogelius.","original_title: Danske Markblomster, Nytaarsgave for Skuespilyndere, 1822
translated_title: Danish Wildflowers, New Year's Gift for Theater Lovers, 1822
author: J. Wildt","[('danske markblomster, nytaarsgave for skuespilyndere, 1822', 'j. wildt')]"
"Homers Jllade 3die og 4de Sang, v. Meisling og Petersen. Kbhvn. 1810. loctatis Fanegyricus c. Mori. Lipa. 1804.","""original_title: Homers Jllade 3die og 4de Sang""  
""translated_title: Homer's Iliad 3rd and 4th Song""  
""author: Meisling og Petersen""

""original_title: loctatis Fanegyricus""  
""translated_title: Eulogy of loctatis""  
""author: Mori""",[]
"Hvor Ludvig Holbergs Skrifter, 21 Deele heftet, udgivne ved Professor K. L. Rahbek, og Biskop Balles Religions Blad, Bibelen forsvarer sig selv, complet kan faaes tilkjøbs, derom giver Addresse-Contoiret i Aalborg Anviisning. Skipper Søren Sode, beliggende med sit Fartøi i Østeraae, afseiler til Aarhuus først i tilkommende Uge og medtagen Fragtgods og Passagerer. De Værelser som Jfr. Holm har beboet paa Gravensgade No. 120 er, til Michaeli, at faae til Leie. H. Ramff.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"En mig tilhørende Roman: Mathilde, af M. Cottin, i 4 Bind, er af mine Læsere udlaant, men kan ei erindres til hvem. Den som maatte have bemeldte Roman, der er forsynet med mit Stempel paa Tittelbladet, bedes at aflevere samme til mig snarest mueligt. Aalborg den 20de August 1823. Thomas Kiergaard.","""original_title: Mathilde""  
""translated_title: Mathilde""  
""author: M. Cottin""",[]
"Undertegnede ønsker sig nogle flere Pigebørn i Haandarbeide og Tegning, om forlanges i Tydsk og Fransk. M. Starcke.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Af Dr. Schubert. - Aonius Palearius, en Sandhedens Martyr. - Maria Honywood. Af W. Derham. - Kommer til mig, siger Herren. Af Dennstedt. - Om den hellige Skrift. - Hvert Hefte vorder Subskribenterne tilbragt mod Erlæggelse af 4 Rbmk. De, som ønske at holde dette Tidsskrift, ville behage at tegne sig hos Bogbinder Vogelius.","""original_title: Aonius Palearius, en Sandhedens Martyr""
""translated_title: Aonius Palearius, a Martyr of Truth""
""author: Dr. Schubert""

""original_title: Maria Honywood""
""translated_title: Maria Honywood""
""author: W. Derham""

""original_title: Kommer til mig, siger Herren""
""translated_title: Come to Me, Says the Lord""
""author: Dennstedt""

""original_title: Om den hellige Skrift""
""translated_title: About the Holy Scripture""
""author: NO_AUTHOR",[]
"Og endelig vil det være mig behageligt, at denne min ofsentlige Anmeldelse ikke mistydes. P. D. Faber.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Søndagen den 12te December om Aftenen Kl. 6 opføres: Den pantsatte Bondedreng, Comedie i tre After af Holberg. Og: Virtuosen No. 2, Commedie i en Art af Heiberg. Gørbing Franck.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Fredagen den 14de Januar om Aftenen Kl. 6 opføres til Benefice for Hr. Packness: Fostbrødrene, Sørgespili fem Acter af Oehlenschlager. Til Slutning: en Epilog. Billetterne faaes hos Hr. Packness, logerende hos Karethmagermester Hansen paa Klosterjorden.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Fredag Aften Kl. 6. Benefice for Hr. Skuespiller Müller: Eriminalprocessen, originalt Sørgespil i fem Acter af Balthaser Bang. Til Slutning en Epilog, der fremsiges af Mad. Müller.","original_title: Eriminalprocessen  
translated_title: The Criminal Process  
author: Balthaser Bang","[('eriminalprocessen', 'balthaser bang')]"
"H. H. Hr. Dr. Claudi ville forbinde Mange ved i Trykken at udgive sin Midfaste Søndag holdte Prædiken. Søndagen den 20de om Aftenen, vil Undertegnede have den Ære at give Forestillinger, der nærmere ved trykte Placater skal blive bekjendtgjort. Skuepladsen er i Ridehuset paa Nyetorv. Billetter til første Plads a 2 Mk. og anden Plads a 3 Mk., faaes i vort Logis hos Hr. Seilmager Fibech i Marenturisgade, samt om Aftenen ved Indgangen, der aabnes Kl. 6, Begyndelsen skeer Kl. 7. Kuhn & Ziescheck.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Følgende faaes nu igjen hos Undertegnede, til nedsatte Priser: Pap af forskjellige No., at Bundten 21 Mk. - Stort Kardus=Papiir, 6 Rbd. 4 Mk. - Mindre dito, 5 Rbd. 4 Mk. Riiset. - Kattunpapiir 32 s. - 24 s. a Bogen. - Alle Sorter coulørte Papiir. Rottbøll Sadolin.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Fra Pressen er udkommet: Theologisk Maanedsskrift, udgivet af Pastor Grundtvig og Dr. Rudelbach, 1ste Binds 1ste Hefte, for April. Prisen er for Subskribenterne 3 Mk., og faaes hos Boghandler Sadolin.","original_title: Theologisk Maanedsskrift
translated_title: Theological Monthly Magazine
author: Pastor Grundtvig and Dr. Rudelbach","[('theologisk maanedsskrift', 'pastor grundtvig and dr. rudelbach')]"
