,article_id,date,embedding,n_chunks_orig,clean_category,nøgle,text,category,article_length,characters,embedding_shape,newspaper,label_type,book_announce,comment,predicted_book_announce
113134,aal_028045,1822-07-20,"[ 0.03154282  0.01874429 -0.01688691 ... -0.03280932 -0.04134125
  0.00707488]",1,Bekjendtgjørelser,33510,"Hvor Ludvig Holbergs Skrifter, 21 Deele heftet, udgivne ved Professor K. L. Rahbek, og Biskop Balles Religions Blad, Bibelen forsvarer sig selv, complet kan faaes tilkjøbs, derom giver Addresse-Contoiret i Aalborg Anviisning. Skipper Søren Sode, beliggende med sit Fartøi i Østeraae, afseiler til Aarhuus først i tilkommende Uge og medtagen Fragtgods og Passagerer. De Værelser som Jfr. Holm har beboet paa Gravensgade No. 120 er, til Michaeli, at faae til Leie. H. Ramff.",Bekjendtgjørelser.,73,472,[1024],aal,predicted,unknown,,y
196153,aal_111163,1835-10-03,"[ 0.02845042  0.00738255 -0.024421   ... -0.03041348  0.01181838
  0.00095171]",1,Bekjendtgjørelser,1835-10-03_73124,"Veiledning for begyndende eller mindre fremmelige Skoledisciple, saavel som en forbereden3de Underviisning for yngre Børn, der med Tiuden skulle indtræde i en lærd Skole, kan erholdes fra 1ste October af. Flere kunne forenesig om Timerne. - Det nærmere aftales med P. H. Colding. De befalede Skudsmaalsbøger af Soldenfelds faaes hos Rottbøll Sadolin.",Blandede Efterretninger,52,350,[1024],aal,predicted,unknown,,y
207635,aal_122662,1837-09-23,"[ 0.02007443 -0.00797418 -0.02433757 ... -0.02449079 -0.0020963
  0.01899677]",1,Bekjendtgjørelser,1837-09-23_88704,"J October begynder jeg Underviisningen saavel med de Elever, der ønskes forberedte til Optagelse i en lærd Skole, som med Disciple, der behøve privat Veiledning. P. H. Colding.",Blandede Efterretninger,28,176,[1024],aal,predicted,unknown,,y
203307,aal_118324,1837-01-16,"[ 0.0221539   0.01788438 -0.01531149 ... -0.01225579 -0.0276345
 -0.01027785]",1,Bekjendtgjørelser,1837-01-16_83039,"Udgivet af T. Chr. Borch & A. Ph. Uies Enke. - Redigeret af Capitain v. Søderberg, Rd. af D.",Titelblad,19,92,[1024],aal,predicted,unknown,,y
240081,aal_155171,1842-11-03,"[ 0.03645227  0.02672749 -0.01523038 ... -0.0302895  -0.0385886
 -0.00663404]",1,Bekjendtgjørelser,1842-11-03_130120,"Om Realunderviisning. En Tale holdt den 18de Septbr. 1842 paa Sorø Academie af Prof. Hauch, 16 s., faaes i Bernh. Reels Boghandling. Den til den 5te November førstkommende, Formiddag Kl. 10, berammede Auction, over Christen Pedersens Enkes Gaard i Nørbek, med Eiendomme, samt Besætning og Løsøre, tilbagekaldes herved. Rinds Gislum Herreders Contoir i Hobro, den 30te October 18442. Jansen.",Fædrelandet,59,390,[1024],aal,predicted,unknown,,y
156408,aal_071335,1829-04-22,"[ 0.03421818 -0.00059305 -0.01254636 ... -0.0218497  -0.05148462
  0.01397253]",1,Bekjendtgjørelser,1829-04-22_17197,"Tre nye, af Dr. Heiberg bearbeidede og tildeels localiserte, Oversættelser af Enactsstykker, hvilke alle ville blive givne paa een Aften i indeværende Maaned, ere nu udkomne under følgende Titler: Den fortredelige Formiddag, Formynder og Myndling, Søyltegjæsten. Prisen for hvert af disse Stykker er 12 Skilling.",Fædrenelandet,45,312,[1024],aal,predicted,unknown,,y
204009,aal_119029,1837-02-27,"[ 0.03039478  0.01184874 -0.01667644 ... -0.01148419 -0.03969314
 -0.0038872 ]",1,Bekjendtgjørelser,1837-02-27_83945,"Udgivet af J. Chr. Borch A. A. Ph. Lies Enke. - Redigeret af Capitain v. Bøderberg, Pd. af D.",Titelblad,19,93,[1024],aal,predicted,unknown,,y
131371,aal_046284,1825-05-04,"[ 0.01097955  0.00092028 -0.03319885 ... -0.03027072 -0.03460849
 -0.00212042]",1,Bekjendtgjørelser,56240,"Fra Pressen er udkommet: Theologisk Maanedsskrift, udgivet af Pastor Grundtvig og Dr. Rudelbach, 1ste Binds 1ste Hefte, for April. Prisen er for Subskribenterne 3 Mk., og faaes hos Boghandler Sadolin.",Bekiendtgjørelser.,30,200,[1024],aal,predicted,unknown,,y
102006,aal_016915,1820-10-07,"[ 0.02472267  0.01940544 -0.0058983  ... -0.03459292 -0.0328037
  0.00324273]",1,Bekjendtgjørelser,19865,"Et Værelse med Kakkelovn og Seng, kan strax erholdes til Leie, paa Vestergade No. 48. Kort Jordbeskrivelse især til Brug i Almueskolerne, ved R. Sadolin, Sognepræst, indb. 2 Mk., taaes hos Rottbøll Sadolin, Boghandler og Bogbinder.",Befordringer og Afgang.,36,231,[1024],aal,predicted,unknown,,y
143010,aal_057924,1827-01-10,"[ 0.02198702  0.01255382 -0.02585405 ... -0.03935461 -0.06053711
 -0.01307601]",1,Bekjendtgjørelser,70413,"Bekjendtgjørelser. Theatret i Aalborg. Torsdagen den 11te Januari 1827. opføres af det herværende Danske Skuespillerselskab: Troe Jngen for vel, Lystspil i 1 Act af Carl Schall, oversat af Thortsen. Derefter: Kong Salomon og Jørgen Hattemager. Vaudeville af Joh. Ludvig Heiberg. (Med tilhørende Overture, componeret af Frølich.) Titchen & Bigum.","Viborg, den 8de Januar.",49,345,[1024],aal,predicted,unknown,,y
128724,aal_043637,1824-12-11,"[ 0.0052085   0.02026774 -0.00460413 ... -0.02709524 -0.04695771
 -0.00690651]",1,Bekjendtgjørelser,52902,"Søndagen den 12te December om Aftenen Kl. 6 opføres: Den pantsatte Bondedreng, Comedie i tre After af Holberg. Og: Virtuosen No. 2, Commedie i en Art af Heiberg. Gørbing Franck.",Bekjendtgjørelser.,30,177,[1024],aal,predicted,unknown,,y
162174,aal_077109,1830-04-27,"[ 0.00101057  0.00827333 -0.0142395  ... -0.01258376 -0.03676591
  0.0215699 ]",1,Bekjendtgjørelser,1830-04-27_25322,"Hvor 8000 Rbdlr. mod antagelig Sikkerhed i næste Juni Alfabetisk Realregister over Colegialtidenden, af Joh. Nik. Høst, 3die Deel. Omfatter de 21 Aargange, fra 1808 til 1828 incl., heftet 17 Mk. Dhrr. Subskriberende behager at afhente deres Exemplarer hos Rottbøll Sadolin. Patent Concept i stor Format faaes nu igjen a Riset 3 Rbd. hos Rottbøll Sadolin.",Bekjendtgjørelser,56,354,[1024],aal,predicted,unknown,,y
121513,aal_036426,1823-11-17,"[ 0.02285057  0.0052297  -0.02949217 ... -0.00090804 -0.04887317
  0.02004685]",1,Bekjendtgjørelser,43971,"Af Dr. Schubert. - Aonius Palearius, en Sandhedens Martyr. - Maria Honywood. Af W. Derham. - Kommer til mig, siger Herren. Af Dennstedt. - Om den hellige Skrift. - Hvert Hefte vorder Subskribenterne tilbragt mod Erlæggelse af 4 Rbmk. De, som ønske at holde dette Tidsskrift, ville behage at tegne sig hos Bogbinder Vogelius.",Bekjendtgjørelser.,54,324,[1024],aal,predicted,unknown,,y
228249,aal_143320,1841-02-02,"[-0.01010516  0.0071822  -0.02530055 ...  0.00814766 -0.04658349
 -0.02821027]",1,Bekjendtgjørelser,1841-02-02_115020,"Forfatteren af den bekjendte Rhinsang: ""Sie sollen ihn nicht haben opv., Niklas Becker i Coln, har, næst Tilbudet af den første ledige Retsskrivertjeneste, tillige af Kongen af Preussen erholdt tilstillet en Gave af 1000 Thaler.",Titelblad,35,228,[1024],aal,predicted,unknown,,y
221255,aal_136315,1839-12-10,"[ 0.00979018  0.01715006 -0.01888298 ... -0.03110745 -0.01598131
  0.01893808]",1,Bekjendtgjørelser,1839-12-10_105872,"Bekiendtgjörelser. Circulerende Læseselskab. Da jeg af endeel Herrer er bleven opfordret til, at oprette et circulerende Læseselskab her i Byen, har jeg besluttet, saafremt et tilstrækkeligt Antal Abonnenter tegne sig, at arrangere et Saadant, som fra Nytaar af vil træde i Virksomhed.",Bekiendtgjörelser,42,285,[1024],aal,predicted,unknown,,y
234502,aal_149584,1842-01-16,"[ 0.02715265  0.009969   -0.00064584 ... -0.03182759 -0.0321186
  0.00280871]",1,Bekjendtgjørelser,1842-01-16_123255,"Kücken, Fr., 6 Wiener-Tange für das Efte. 72 s. Marsen, E., 6 Etuden für die linke Hand allein. Op. 40. 1 Rbd. Reissiger. C. G., le voyage, Rondo brillant pourle Pfte. Op. 88. 1 Rbd. 48 s. Hamburg, den 5ten Januar 1842. Schuberth & Co. Neue Musicalien für Violoncell.",Titelblad,49,267,[1024],aal,predicted,unknown,,y
136527,aal_051440,1826-02-04,"[ 0.02747541  0.00328743 -0.00863518 ... -0.01896439 -0.04092785
  0.00128543]",1,Bekjendtgjørelser,62588,"Bestillinger modtages paa Justs Haandbog for den læsende Ungdom, 10de Oplag, som ventes med det første tilsendt, hvor og hans øvrige Skrifter faaes hos Rottbøll Sadolin. Hos Agent Galster i Sundbye faaes: a. Bedste østersøisk Sæde Hørfrøe. b. Hollandsk Hampefrøe af egen Avl, til Sæd. c. Tidlig hvid Sædehavre af circa 10 Lpds. Vægt. d. Extra fine Carstanie-Kartofler, vel conserverede. Nogle gode romanske Violin- og Guitarre-Strænge kan erholdes hos Collecteur Bech.",Bekiendtgjørelser.,71,468,[1024],aal,predicted,unknown,,y
155728,aal_070654,1829-03-12,"[ 0.015425    0.01569346 -0.017562   ... -0.03553183 -0.03527373
 -0.00064768]",1,Bekjendtgjørelser,1829-03-12_16252,"Hvor 2de Skole=Disciple kan faae Kost og Logis, i et honet Huus, giver Stiftsbogtrykkeriet Underretning. Beboelse for 2 smaa Familier er at faae til Leie, næste Fløttette i Huset No. 152 i Urbansgade. 2de lyse Overværelser med øvrige Beqvemmeligheder er tilPaaske Fløttetid til Leie hos Funck i Jomfru Anegaden. Græsning til 1 a 200 Stude kan erholdes paa Restrup.",Bekjendtgjørelser,59,364,[1024],aal,predicted,unknown,,y
175971,aal_090934,1832-06-02,"[ 0.01804064  0.00409299 -0.04352517 ... -0.02952545 -0.04128319
  0.00303129]",1,Bekjendtgjørelser,1832-06-02_44350,"Almeennyttig Lommebog for 1832, nærmest udarbeidet som Veiledning for den Handlende, udgivet af C. J. Giessing; indb. 4 Mk., faaes hos Rottbøll Sadolin. Bedste hvide Form- og Spedelys, af god indenlandsk Talg, kan faaes hos N. Schibbye. Hvor vel conditionerte kjøbenhavnske Mahognie Meubler til et Værelses Establissement m.v., kan kjøbes, anviser Stiftsbogtrykkeriet. Særdeles gode tillavede Oliefarver og Oliefernisser faaes til billig Priis hos Maler D. Mayntzhusen.",Bekjendtgjørelse,66,469,[1024],aal,predicted,unknown,,y
204810,aal_119832,1837-04-17,"[ 0.0485803   0.01469137 -0.01914895 ... -0.00960345 -0.02877132
 -0.00376317]",1,Bekjendtgjørelser,1837-04-17_85025,"udgivet af J. Chr. Borch & N. P. Ries Enke. – Redigeret af Capitain v. Bøderberg, Pd. af Øs. Aragos Tale.",Titelblad,21,105,[1024],aal,predicted,unknown,,y
206915,aal_121941,1837-08-15,"[ 0.0283586   0.01031419 -0.0153868  ... -0.00918484 -0.03142418
 -0.0058729 ]",1,Bekjendtgjørelser,1837-08-15_87796,"udgivet af J. Chr. Borch & A. ph. Lies Enke. - Redigeret af Capitain v. Bøderberg, Rd. af D.",Titelblad,19,92,[1024],aal,predicted,unknown,,y
131270,aal_046183,1825-04-28,"[ 0.01927452  0.00565111 -0.02500978 ... -0.01512883 -0.02788889
  0.00126039]",1,Bekjendtgjørelser,56110,"Følgende faaes nu igjen hos Undertegnede, til nedsatte Priser: Pap af forskjellige No., at Bundten 21 Mk. - Stort Kardus=Papiir, 6 Rbd. 4 Mk. - Mindre dito, 5 Rbd. 4 Mk. Riiset. - Kattunpapiir 32 s. - 24 s. a Bogen. - Alle Sorter coulørte Papiir. Rottbøll Sadolin.",Bekjendtgjørelser.,48,264,[1024],aal,predicted,unknown,,y
198164,aal_113178,1836-02-20,"[ 0.00520135  0.0192815  -0.01084161 ... -0.03407248 -0.02760412
 -0.00643512]",1,Bekjendtgjørelser,1836-02-20_75925,Kortfattet Underviisning i Agerdyrkning. En Læsebog for Landsbyskoler. Udgiven af det kongelige Landhuusholdningsselskab 1835. Jndb. 2 Mk. Tages 12 Expl. da gives 8 pCt. Rabat mod Contant. Rottbøll Sadolin.,Bekjendtgjørelser,29,206,[1024],aal,predicted,y,,
135404,aal_050317,1825-12-01,"[-0.01383907  0.00514864 -0.0337557  ... -0.01311969 -0.03037394
  0.00372314]",1,Bekjendtgjørelser,61208,"At jeg som forhen trykker Uldent og Linned, farver Linnedgarn, skjærer alle Sorter Trykkeformer og andre Stempler, forfærdiger flere Sorter nye Fuglebure, m.m., giver jeg mig den Frihed at bekjendtgjøre det ærede Publicum. C. Berg, paa Nørregade. Praktikens Provesteen for den sande Land=Oeconomie, ved J. C. Steen, heftet 2 Mk., faaes hos Rottbøll Sadolin.",Bekjendtgjørelser.,54,357,[1024],aal,predicted,unknown,,y
237838,aal_152923,1842-07-06,"[ 0.00859845  0.00169924 -0.02706151 ... -0.01623411 -0.05521444
 -0.00576149]",1,Bekjendtgjørelser,1842-07-06_127335,"Lector, Dr. med. Withs Anviisning til Huusdyravlen og Huusdyrenes Behandling. er idag hertil ankommen og vil blive uddeelt til Subscribenterne. Exemplarer for andre Kjøbere a 2 Rbd. kunne erholdes i Bernh. Røe's Boghandling. Tømmerhandel.",Bekjendtgjørelser,34,238,[1024],aal,predicted,unknown,,y
122794,aal_037707,1824-01-31,"[ 0.02121609 -0.02250949 -0.03537185 ... -0.02274796 -0.06570989
 -0.00046984]",1,Bekjendtgjørelser,45550,"Og endelig vil det være mig behageligt, at denne min ofsentlige Anmeldelse ikke mistydes. P. D. Faber.",Kjøbenhavn.,17,102,[1024],aal,predicted,unknown,,y
148713,aal_063633,1827-12-15,"[ 0.03623865  0.02645623 -0.05132133 ... -0.01617314 -0.03255396
 -0.0022505 ]",1,Bekjendtgjørelser,1827-12-15_5942,"Blanketter til Beregning over Lønning m. v., faaes paa Stiftsbogtrykkeriet. ansaa anden ----- Lønningsbøger faaes paa Stiftsbogtrykkeriet. Et Par smukke Værelser, med tilser uden Meubler, Paa det over ere at faae til Leie i min Gaard. Hviinsang. sammes 3de m. Sk. .",Bekjendtgjørelser,42,265,[1024],aal,predicted,unknown,,y
219233,aal_134290,1839-08-15,"[ 0.04110171  0.0173262  -0.0266686  ... -0.01150212 -0.02233225
 -0.01259648]",1,Bekjendtgjørelser,1839-08-15_103432,"Billetter kunne erholdes hos Hr. KlokkerClaudi til 2 Mk. overalt i Kirken. Indgangen aabnes Kl. 4 og Begyndelsen skeer, Kl. 3. Texten til Sangene sælges hos Hr. Klokker Claudi samt ved Indgangen. Kirken lukkes ved Concertens Begyndelse. Muth Rasmussen.",Bekjendtgjörelser,39,252,[1024],aal,predicted,unknown,,y
120029,aal_034942,1823-08-23,"[ 1.90158095e-02  1.51020122e-05 -2.20181625e-02 ... -2.56861690e-02
 -5.62947504e-02  7.62072764e-03]",1,Bekjendtgjørelser,42131,"En mig tilhørende Roman: Mathilde, af M. Cottin, i 4 Bind, er af mine Læsere udlaant, men kan ei erindres til hvem. Den som maatte have bemeldte Roman, der er forsynet med mit Stempel paa Tittelbladet, bedes at aflevere samme til mig snarest mueligt. Aalborg den 20de August 1823. Thomas Kiergaard.",Bekjendtgjørelser.,51,298,[1024],aal,predicted,unknown,,y
92333,aal_007242,1819-03-29,"[ 0.03022181  0.01768436 -0.01536628 ... -0.02001879 -0.05469133
  0.00397722]",1,Bekjendtgjørelser,8509,"Nylig har forladt Pressen, Homers Jliade. Første Rapsodie. Oversat. Den faaes paa Addresse-Contoitet for 2 Mk. heftet.",Indenlandske Efterretninger.,17,118,[1024],aal,predicted,unknown,,y
192077,aal_107079,1835-01-17,"[-0.01431045  0.02243205 -0.02105011 ... -0.02522306 -0.04052751
  0.0024233 ]",1,Bekjendtgjørelser,1835-01-17_67374,Bogen Practisk Landmaaler ville Subscribenterne i Omegnen af Hjørring behageligen afhente hos Cateche Müller.,Bekjendtgjørelse,14,109,[1024],aal,predicted,unknown,,y
130551,aal_045464,1825-03-19,"[ 0.01702741  0.02557002 -0.02449726 ... -0.02048256 -0.0237617
  0.01386865]",1,Bekjendtgjørelser,55220,"H. H. Hr. Dr. Claudi ville forbinde Mange ved i Trykken at udgive sin Midfaste Søndag holdte Prædiken. Søndagen den 20de om Aftenen, vil Undertegnede have den Ære at give Forestillinger, der nærmere ved trykte Placater skal blive bekjendtgjort. Skuepladsen er i Ridehuset paa Nyetorv. Billetter til første Plads a 2 Mk. og anden Plads a 3 Mk., faaes i vort Logis hos Hr. Seilmager Fibech i Marenturisgade, samt om Aftenen ved Indgangen, der aabnes Kl. 6, Begyndelsen skeer Kl. 7. Kuhn & Ziescheck.",Bekjendtgjørelser.,84,497,[1024],aal,predicted,unknown,,y
136493,aal_051406,1826-02-02,"[ 0.02998822  0.00259468 -0.02389448 ... -0.01788357 -0.05804758
 -0.00841476]",1,Bekjendtgjørelser,62546,"Af Ceres, et periodisk Skrivt for dannede Læfere, er December-Heftet for 1825 udkommet og indeholder: FrøkenHambleton, af Karl Müchler. - Fader Gutmann og hans Søn, af F. Mosengeil. - Den døende Svane, af Herder. - Anecdoter. Subskription modtages fremdeles hos Vogelius, Boghandler og Bogbinder.",Bekiendtgjørelser.,44,296,[1024],aal,predicted,unknown,,y
712257,aar_027266,1804-02-11,"[ 0.0375034  -0.00388101 -0.006725   ... -0.01757684 -0.0333572
 -0.00349776]",1,Bekjendtgjørelser,1804-02-11_37194,"Bekiendtgiørelser. Paa Bispe-Contoiret i Aarhuus, kan faaes følgende Skrivter, udgiven af A. F. Just i Wiborg: Historier om Spøgelser og Døerge m. m. 4 s.; Haandbog for dem, der ei ere Hestelæger, 2det forøgede Oplag 1 Mk.; den nyeste Bondepraktika 4de forøgede Oplag, 20 sk.",Bekiendtgiørelser,45,275,[1024],aar,predicted,unknown,,y
752389,aar_067445,1816-03-19,"[ 0.04417353  0.025223   -0.01762053 ... -0.03874603 -0.05851558
 -0.00301524]",1,Bekjendtgjørelser,1816-03-19_90198,"Laaneren af en Almanak for Selskabstheatre 1818 udgiven af N. T. Bruun, saavel det Exemplat de hører til Polybymnias Theaterbibliothek, som H. Elmquists Læseselskab, ombedes saasnart mueligt i tilbagelevere samme til Adressekontoiret. Hos undertegnede er tvende Værelser til Leie til første Paaske Flyttetid, sammesteds er Haugefrøe i bekomme i Klostergaden hos Laurs Gjedvad",Bekiendtgiørelser,53,375,[1024],aar,predicted,unknown,,y
694749,aar_009743,1798-02-14,"[ 0.02541458  0.01960651 -0.04932946 ... -0.01019076 -0.03834513
 -0.00384391]",1,Bekjendtgjørelser,1798-02-14_13791,"Da min salig Mand har udlaant de to første Deelaf Fogtmands kongelige Reskripter, Resolutioner a. og jeg veed ikke til hvem, beder jeg herved den, som har faaet dem, at levere mig dem, da det ellers vil blive mig til stor Skade da Værket er defelt. B. C. sal. Bruus.",Bekiendtgiørelser,50,266,[1024],aar,predicted,unknown,,y
742659,aar_057700,1813-01-22,"[ 0.02510578  0.03254492 -0.02001414 ... -0.02276084 -0.05541443
 -0.00375911]",1,Bekjendtgjørelser,1813-01-22_77611,"De Flere, som gientagne Gange have modtaget Regninger fra mig, det være sig enten for Bøger, Aviser, Avertissementer eller i Læsekontingent, ville behageligen snarest mueligt afgiøre samme, da de derved ikke allene spare gientaget Porto, men endog mig for den Ubehagelighed at maatte nægte Opfyldelsen af deres fremdeles Forlangender. A. F. Elmquist.",Bekiendtgiørelser,52,350,[1024],aar,predicted,unknown,,y
