,article_id,text
742659,aar_057700,"De Flere, som gientagne Gange have modtaget Regninger fra mig, det være sig enten for Bøger, Aviser, Avertissementer eller i Læsekontingent, ville behageligen snarest mueligt afgiøre samme, da de derved ikke allene spare gientaget Porto, men endog mig for den Ubehagelighed at maatte nægte Opfyldelsen af deres fremdeles Forlangender. A. F. Elmquist."
794508,aar_109615,"Bekjendtgjørelser. Efter det lykkeligste Ægteskab, i næsten 30 Aar blev jeg, den 20de d., ved en hastig og uventet Død, berøvet min inderligelskede Mand Provst Peder Berthelsen, Sognepræst til Torrild og Wedsleth Menigheder, i hans Alders 62de Aar. Dette bekjendtgjøres sørgeligst, forvisset om at fraværende Slægt og Venner vil deeltage i min og Børns billige Sorg. Torrild Præsteged, den 28de Decbr. 1825. H. S. sal. Berthelsens, fød Brøndlund."
839114,aar_154276,"Udmærket god Deres Viin faaes paa Bouteiller meN. Malling. get billig hos Norsk Kronglas & Stetiner-Glas faaes hos A. Malling. Materialier. Udenadstavning og Dictatskrivning, samlede af J. Pilkiær, Skolelærer i Veilbye."
859568,aar_174770,"Nye Catrineblommer, franske Svedsker, Mallaga=Figen, grønne russiske Ærter, Syltet=Ingefær, m. m. m., faaes paa Svane-Apotheket i Aarhuus hos Køster."
760664,aar_075726,"En Samling af de berømteste Componisters Portraiter indfattede i Mahognie Rammer, anvises tilkjøbs fra Adressekontoiret. kiøbs fra AdresAf Baron la Motte Fouqvees Mührchenbuch for Kinder, m.R., ere Expl. at faae tilkjøbs paa Adressekontoiret. .... . Specier 20 a 21. Kours den 21de Marts- ; Oblig. 93 1/2. Rbmk.; Committees. Norske Sedler 24 1/2. me Almisse. Meins og sær"
837777,aar_152936,"Nye friske Appelsiner, Pommerantzer og Citroner ere arriverede, og faaes billig hos J. F. W. Røse."
689486,aar_004470,"En af de sieldne redelige Mænd, ved Navn Peder, baden, som for 9 Aar siden holdt Bog Auctioner i kiøbenhavn og da maatte forlade Byen uden at betalede Creditorer, lader i Kiøbenhavn bekiendtgiøre, at nu nu i Petersborg er i den gode Forfatning, at han er og vil udbetale enhver hvad han skylder dem, naar vil indlevere deres Regninger til Præsten Hr. Rørde i Kiøbenhavn."
789095,aar_104194,"Condition for en Huuslærer paa Landet, helst en Student, anvises af Bloch."
732867,aar_047895,"Den kongel. Priseret i Aarhuus, den 10de Julii 1810. Fortsættelse af de Gaver, som ere indkomne til den brandlidte Gaardmand Jens Jørgensen af Tendrup. Fra S. T. Hr. Oberstlieutenant v. Folsach, til Giessinggaard . . 10 Rd. Fra en ubenævnt . . . . . . . - 24 s. Tilsammen 10 Rd. 24 s."
761057,aar_076119,"For det indsendte Stykke ""Den nægte Brudevielse, eller den fingrette kraft, kan vende Er det indfandt. Stukke Dr. Cand. vielse, eller den fingrertekræfte tan vede indført, vilde Forfatteren behage at opgive sit Navn herAdressekontoiret."
851761,aar_166944,"Et stort udmærket godt Haand Harmonia-Accordium som har kostet 15 Rbd., og hvorpaa kan spilles Coraler, Marscher m. m., er indlagt til Salg for 10 Rbd. hos Hr. Boghandler Warberg. Sammesteds sælges 88 Kobbere af Meyers Universum med tilhørende tydsk Text for 27 Mk. 42 Dito med dansk Text 13 Mk., som kun er halv Subskriptionspriis. Redigeres, trykkes og udgives 4 Gange ugentlig af Overkrigscommissair A. F. Elmquist."
764165,aar_079231,"Horsens og dens Omegns Kunstyndere har jeg den Ære at tilkiendegive, at jeg næsik Søndag den 9de Maii giver min sidste Forestilling, bestaaende af: Kapelmesteren af Venedig, komisk Qvoblidet, med Munt af forskellige Komponister Landsbyeskolemesteren. eller den nye Læremethode, komisk Syngestykke. Billetter a 1 Rbd. ere at erholde i mit Logis hos Hr. Kom. F. Yving, samt om Aftenen ved Indgangen. Fr. Roeppke."
852443,aar_167626,"Hos en Præstesamilie, nogle Mile Østen for Ringkjøbing, kunne 2 Drenge eller Piger antages i Huset. Foruden omhyggelig Pleie og grundig Underviisning i Sprog og de almindelige Skolevidenskaber, tilbydes Underviisning paa Pianoforte og i Nutidens qvindelige Haandarbeider. Adressekontoiret i Aarhuusanviser."
823153,aar_138293,"Endeel diverse Skrivpapiter faaes til meget billige Priser hos Fr. Cl. Døcker. Nyeste fine Crystal og Glas-Varer, saasom: Frugtvaser, Potpourt- og Blomster=Vaser, Lysestager, Plat de Menager, div. Facons, Thee- og Sukkerdaaser, Assietter, Lyserosetter, div. fine Bægere, og Glas, m. m. m., ere arriverede. Fr. Cl. Døcker."
708827,aar_023831,"De af min Ven mig leverede 6 Rdr. bliver efter Ønske til de trængende Fattige uddeelt, for Gaven takkes. I Bech."
792574,aar_107678,"Bekjendtgjørelser. De naturvidenskabelige Forelæsninger begynde atter Onsdagen den 10de August Kl. 7, og fortsættes som S. Køster. forhen."
692340,aar_007329,"En fattig Matros leverte mig 24 s. til de Fattige, i Anledning af en lykkelig Reise. Aarhuus, den 29de Martii 1797. P. Willadsen."
800578,aar_115688,Bekjendtgjørelser. Sidste Forestilling: Søndagsaften opføres: Lystspillet eller Veddemaalet. Originalt Lystspil i 5 Atter. Til Slutning: Takog Afsked. Olsen & Scavenius.
699690,aar_014687,"Hvem, enten Jnden eller Udenbyes, der maatte have modtaget Bøger til Laans af nu bortdøde Hr. Premier=Lieutnant v. Schlichter, anmodes herved om, behagelig, jo før jo hellere, at aflevere samme i hans Stervboe. Aarhuus, den 28de Septbr. 1799."
857913,aar_173111,Boghandler Løwenthal i Randers agter i denne Bye at oprette et musikalsk Leiebibliothek.
850019,aar_165201,"Nylig er arriveret: nye franske Svedsker, MallagaRosiner, føde, bittre & Krak=Mandler, Confectrosiner, Katrineblommer, Figener, lyst St. Croix Sukker, nye Caroline-Riis, friske Citroner og Appelsiner, Carristof, Sucat, Haysan & Congo Thee, Lyneborg Salt, Sago som iøvrigt Alt til Urtekramhandelen Henhørende, faaes til billige Priser hos Chr. Christensen."
804855,aar_119970,"Bekjendtgjørelser. Til de ulykkelige Græker. har jeg endvidere havt den Glæde at modtage: Fra Beboerne i Vibye og Thiset Sogne, ved Hs. H. Hr. Provst Mehl i Vibye, 7 Rbd. 3 Mk. 8 s. S. T. A. F. Elmquist."
715313,aar_030325,"Det Petersborgske Videnskabers Academie har kjøbt det berømte chemnitiske Conchylie-Kabinet i Kiøbenhavn for 5000 Rubler. Gibseren Hr. Mølsted indbyder til Subskription paa et Büste i Legemsstørrelse af H. K. H. Kronprindsen. Det er næsten færdigt, og alle Kiendere finde at det vilblive et saa skiønt som lignende Stykke."
817311,aar_132443,"En smuk saa god som ny holsteensk Vogn med 3 laketede Agestole anvises tilkjøbs fra Adressekontoiret. Redigeres, trykkes og udgives 4 Gange ugentlig af A. F. Elmquist."
826494,aar_141642,"Fjerde Tillæg til Cataloget over Bøgerne i AarhuusStiftsbibliothek er udkommet og erholdes i Bibliothekets Locale de sædvanlige Udlaaningsdage Tirsdag og Løverdag Middag Kl. 12-1, for 1 Mk. Tegn. Redigeres trykkes og udgives 4 Gange i A. F. Almanist."
689264,aar_004248,"J et Huus i Aarhuus bliver Leilighed for unge Fruentimmer at lære Fransk og Tydsk, og hvad det unge smukke Kiøn bør vide af Fruentimmer Netheder, og alt dette af en Kone med al den Sikkerhed for gode Sæder og god Levemaade, som man kan ønske. J. Huset baade kan de logere og spise og være under Tilsyn. Bogtrykker Lund giver den behøvende Efterretning, og man tor gjerne beraabe sig paa Hr. StiftAmtmandens Vidnesbyrd."
778353,aar_093435,"Den gode Ven som for nogen Tid siden laante en Nødebog af mig med Dandse udi, samt blaat Vind om, bedes snarest muligt at aflevere samme. P. Albricht."
37102,lol_037311,"Bekjendtgjørelser. For de Skolebestyrelser, som ved det nye Skoleaars Begyndelse ville indføre Pastor 6. D. S. Birchs Læsebog, Naturen, Mennesket og Borgeren, bekjendtgjøres: at denne Læsebog for øverste Classeer tilkjøbs hos Skolelærerne B. Moritsen i Saxkjøbing og Fæster i Veiringe paa"
69055,lol_069422,"Bekjendtgjørelser. Beretning fra Selskabet til Hesteavlens Fremme i de danske Provindser, tilligemed Regnskab for 1832 og Fortegnelse over Selskabets Medlemmer, er udkommen og kan af Medlemmerne erholdes hos de Herrer Amtsforvaltere, hvor tillige findes Planer, hvorpaa ny Deeltagere kunne tegne sig."
21073,lol_021158,"Paa Addresse-Contoiret faaes. Lærebog i den Evangelisk christelige Religion, indrettet til Brug i de danske Skoler, 4 Rbmk."
5303,lol_005326,Oberst og Ridder v. Brun indsendende Af- og Tilgangslister. Afregnings-Bog for Cavallerie og Jnfanterie.
61686,lol_062035,"Tilkjøbs. Dobbelt destilleret Kommen Brændeviin, 28 s. Potten, og gl. fransk Viin-Edike, 20 s. Potten, faaes i Nykjøbing hos R. Sidenius."
37278,lol_037491,Ved Tallotteriets 1017 Træning i Wandsbeck udkom: No. 90. 54. 4. 21. 70.
1822,lol_001834,"Bekjendtgjørelser. Jndbydelse. Da udenlandske Tidender og Tidsskrivter i den senere Tid ere stegne til det dobbelte, er det for nærværende Tid næsten en Umuelighed for enkelt Mand, der har Lyst til at see sig om i Litteraturens, Videnskabernes og Kunsternes Riger, at tilfredsstille sin Videlyst."
6240,lol_006269,"Kjøbenhavn den 6te Junii 1811. Joh. David Vogel. Paa Addresse-Contoiret i Mariboe bliver med det første ved offentlig Faldbydelse bortsolgt endeel gode og vel conditionerede Bøger i adskillige Sprog og Videnskaber. Saavel Tiden naar, samt hvor trykte Fortegnelser over samme kan bekommes, skal nærmere blive bekjendtgjort."
3121,lol_003135,"Tanker i Anledning af Skrivelsen fra Falster, de dyre Tider angaaende, kunde af Mangel paa Plads ikke blive indrykket i dette. No."
80190,lol_080581,"Dette Skrift anbefales i Hempels Avis meget fordeelagtigt. ""Skriftet, hedder det der, som er udarbeidet med overordentlig Flid, vil have Jnteresse ikke alene for Mosaiterne, men for enhver Jurist og Geistlig, der vil lære Kirkehistoriens Detail at kjende."" Rulle. Hos Kjøbmand Gram kan en Rulle daglig afbenyttes. For 200 Stokke betales 8 s. og for enkelte Stokke 1/2 s."
6893,lol_006925,Gaver. (Fortsættelse af forrige No. Hans Bøssemager . 3 Rd. Skolelærer Hansen. Niels Møller. 4 Mk. 4 s. Peder Smed = = Knud Michelsen. . . Anders Rasmussen. Summa 116 Rd. 1 Mk. 12 s. Hr. Thorsen til Assestrup. 10 Rd. Sognef. H. Thorsen i Harpelunde 3 Præst Petersen i Sandbye. Kirkesanger Høvinghoff. Erichsen. Sandbye Sogns Beboere 40 3 8 (hvoraf Rasmus Christensen i Taars 5 Rd.) (Sluttet.)
73767,lol_074140,"Literatur. Nyt og billigt Ugeblad. Under Titel af: ""Nyeste Aftenpost, udkommer fra Nytaar et Blad tvende Gange om Ugen, trykt i Qvart, indeholdende Moerskabslæsning m. m. Prisen er kun 26 Skilling om Qvartalet; men enkelte No. sælges ikke. Subskription modtages af Hr. Giegengack i Mariebo."
83663,lol_084058,"Bekjendtgjørelser. Jfølge derom modtaget Beretning, er ved Bøttøe Landpaa Falster i Østersøen funden circa 500 Pd. Blye i store Stykker paa 20 og flere Pd. hvert Stykke forsynet med følgende Mart. I. L. R. V. S. G. H. H."
66624,lol_066984,Med de Herrer Forfatteres Tilladelse besørges de to kronede Afhandlinger udgivne af Selskabet.
29270,lol_029405,"Tilkjøbs. Efter flere af Dhrr. Lægers Ønske haver jeg forskreven, directe fra Holland de meget berømte hollandske Feberpulver Poudres febrifuges de Fresearode og Ormekager, som nyelig er arriveret; ligeledes kan ægte fransk Gigt Taft, nyt Seltzer, Pyrmonter og Fachinger- Band bekommes. L. Mohr."
7513,lol_007546,"Under denne Titel agtet Procurator Joh. NicHøst paa Undertegnedes Forlag at udgive en - saavidt mueligt kort og fuldstændig Udsigt over det af vore gjeldende Love, der synes fortrinligen at burde kjendes af hver dansk norsk Undersaat i hvilkensomhelst Stilling."
47842,lol_048156,P. Hansen. Nye Lodsedler til det 77de Lotteries 2den Classekunne bekommes hos Collecteur Christensen i Nødbye for 4 og 6 Rbd. Stykket.
22410,lol_022503,Jntet Folk i Europa er efter det Engelske saa meget bebyrdet med Skatter som det Hollandske.
1975,lol_001987,"Bekjendtgjørelser. Gudstjenesten begynder 2den Søndag efter H. tre R. 14 Jan. dennes Kl. 10 i Mariboe, til Taksigelse for Freden med Sverrig; i Hillested Kl. 12 1/2 s. Dag Provinsial-Bogsamlingen."
14005,lol_014061,"Paa Addresse-Contoiret i Mariboe kan bekommes tilkjøbs: Meget godt Conceptpapiir for 3 Mk. Rbd. Navneværdie Bogen; ubeskaaret Postpapiir, Lærebøger i den evangelisk christelige Religion, indrettet til Brug i de danske Skoler; A. B. C. Bøger, Catechismusser; Almanakker for 1815; Afregnings-Bøger for Cavallerister; Følgesedler for Lægdsmænd, Fortegnelse over Provindsialbogsamlingen, 1ste Deels 1ste Hefte og fiint Lak¬"
43888,lol_044191,"Bekjendtgjørelser. Nye Lodsedler til det 75de Lotteries 1ste Classe, kunne bekommes for 2 Rbdlr. Stykket hos Collecteur, Christensen i Rødbye."
4942,lol_004964,"Disse Gavers Værd er endnu meer forhøiet derved, at vor berømmelige Malling har ved sit Navns Underskrivt i ethvert af disse Værker bevidnet, at de ere Stiftelsen forærede."
6848,lol_006880,"C. Kølle. Da jeg hverken kan begynde eller endnu mindre fuldende Provindsialbogsamlingens Revision førend alle de udlaante Bøger ere indleverede til Stiftelsen, saa anmodes nok engang alle og enhver, der ikke endnu have afsendt deres Bøger, at indfinde dem med samme, da de i manglende Fald maae herefter vente, at blive udelukkede fra Deeltagelse i Stiftelsen, som den engang vedtagne og fastsatte OrdenForstyrrere. Mariboe den 22de August 1811. C. F. Schulz."
20367,lol_020450,"Fine røde engelske Blyanter til at tegne med 5 Rbmk. Stkt., Tudsk, af alle Farver, til at tegne med, a 2 Rbd. hvert Stykke. Forgyldt Papiir. 1 Mk. 8 s. Arket. Alle Sorter Couleurt Papir. 1 Rbmk. Arket."
30606,lol_030751,"Tilkjøbs. Paa Addresse-Contoiret kan bekommes tilkjøbs, fiin hollandsk Conceptpapiir, 1 Mk. 8 s.; fiint dito Propatria, 3 Mk. 8 s."
79438,lol_079829,"Bøger. Psalmebøger til forskjellige Priser, og af forskjellig Jndbinding, passende for Confirmanter, samt de anordnede Skudsmaalsbøger, tilligemed de almindelige og meest brugelige Skolebøger, bekommes til enhver Tid billigt hos Bogbinder J. Madsen i Nykjøbing."
2547,lol_002560,Disse sande skjulte Menneskevenner takkes paa det inderligste af C. F. Schultz.
60466,lol_060810,"Følgende nylig udkomne Bøger faaes hos Giegengacki Mariebo: Geistlig Stat, eller Fortegnelse over de Candidater, som have underkastet sig den theologiske Embeds-Exammen ved Kjøbenhavns Universitet efter 7de Mai 1788, med Vedtegninger."
249202,ode_008109,"J Preussen udgives en Samling af alle Forordninger, som herefter udkomme. Alle Magistrats Personer, høiere Militaire, Superintendenter de ere forbundne til at anskaffe sig samme."
402903,ode_162144,Directionen for Fyens Stifts Bibelselskab d. 14 Juni 1843. N. Faber. Svitzer. Wegener. S. Hempel. Hald. Skolelærersangfest.
375701,ode_134886,"Eu udvalgt Samling af Kobbere og Lithographier, sorte og colorerede. Stambøger, meget smukke og i nyeste Smag."
403128,ode_162369,"Da flere staae i den Formening, at denne Bog vil udkomme i Hefter a 4 Mk., bekjendtgjøres herved, at det er hele Bogen, der vil koste 4 Mk. Man tegner sig og afhenter Planer i Bogladerne."
299359,ode_058316,"Hertugdømmene. Redigeres, trykkes og forlægges af Udgiveren Søren Hempel i Odense. at Torsdagen den 6 September 1821."
260507,ode_019429,"Subskription. viisning, der skal begynde hvor samme Forfatters Lærrehøiere Mathematik, udgivet til Selvunderbøger i den elem nære Mathematik ende - modtages herpaa Adressekontoiret, hvor Planen derover er til Eftersyn. at faae til Leie med eller uden Meubler."
345835,ode_104901,AVERTISSEMENTS. Paa Adresselontoiret faaes: Love og Bestemmelser for Væddeløbene i Fyens Stift 1832. 16 s. heft.
241774,ode_000673,"J Aarhuus bortsælges, næstkommende 25 April en betydelig Samling af Bøger, som sal. Hr. Professor og RektoKrarup har efterladt sig. Kataloger kan faaes hos Boghandler Hempel i Odense. Kommissioner for Fraværende modtage Pastor Studsgaard, Konrector Tauber og Adjunct Fleischer i Aarhuus. I Vestergade her i Odense er en Gaard med Baghuus og en liden Haugeplads at faae tilkjøbs, naar Liebhavere henvende sig til Avisexpeditionen."
379862,ode_139072,"Odense den 26 August 1839. Kort Anviisning. til Melk og Flødes fordeelagtigste Behandling til godt Smør. Udgiven af Fyens Stifts patriotiske Selskab og tilegnet Fyens vindskibelige Bønderkoner. For at bidrage til muligst Udbredelse af dette almeennyttige Skrift er foranstaltet særskilte Aftryk, som overlades for 4 Rbs. heftet Exemplaret. Om kort Tid vil Skriftet være at erholde i de fleste Bohandlinger; her i Odense kan det strax faaes paa S. Hempels Boglade. Paa Theatret i Odense opføres:"
339727,ode_098771,"J Boeslunde Præstegaard, 1/2 Miil fra Skjelskjør, bortsælges den 25 Mai d. A. og følgende Dage afdøde Pastor Beckmanns Bogsamling, omtrent 2000 Bind, ved offentlig Auction, som begynder og Formiddagen Kl. 10. Bøgerne ere smukt indbundne og vel vedligeholdte. Værkerne ere for størstedelen theologiske, historiske og topografiske, i hvilken sidste Henseende Samlingen endog er sjelden. Forøvrigt findes ogsaa i samme nogle juridiske og landsekonomiske Skrivter samt nogle Skolebøger."
427614,ode_186873,"Odense den 19 Jan. 1847. Til Almuebibliotheker kan erholdes en betydelig Samling af ældre og nyere Skrifter, i den danske Litteratur, i den Hempelske Boghandel."
307016,ode_065980,"Dannevang, dansk Folkesang, komponeret af Bay til Pianoforte. Gerlach, Favorit=Dandse for 2 Violiner, 5 Mk. for 2 Fløiter, 3 Mk. Jensens Variationer for Fløite. I. I. Liv. 8 Mk. Ægte og friske Romanske og overspundne Strænge til Violoncel. Violin, Bratsch, og Guitail, Staal- og Messing, Claveer=Strænge, ægte chinesiske Qvinier og præpareret Califonium. Faaes hos C. F. Busch i Nyborg."
302225,ode_061185,"Regnskab over Nationalbankens Jnd tægter og Udgivter for Bankaaret fra 1 August 1820 til 31 Juli 1821, tilligemed vedføiet Forklaring, som viser Bankens Status til bemeldte 31 Juli. 3 Mk. heftet."
408127,ode_167372,"J den Hempelske Boghandling modtages Subskription paa Pariser Moden=Journal Herrnkleidermacher. Hver 14de Dag udgaaer et Hefte, ledsaget med Afbildninger af de nyeste Moder og Beskrivelse over disse, samt Tilskjæringsmønstre m.m. Qvartalet koster 9 Mk. 271."
253858,ode_012770,"J den Hensigt, at tilveiebringe sligt et simpelt og brugbart Hjelpemiddel, er denne Dagbog udgivet, hver man under 3 HovedRubriker kan anføre enhver muelig Slags Jndtægt og Udgivt for sig selv, og ved Aarets Udgang drage Balancen imellem begge. Videre Anviisning til Brugen er givet i Bøgen selv, som sælges her paa Adressecomtoiret indheftet i beqvem Lommeformat for 4 Mk. 8 s. got Skrivpapiir og 1 Rd. fiint Papir Expl. S. Hempel."
275908,ode_034848,"Paa de Hr. Loles Musik-Forlag modtages stedse Kommissioner for Fyen og Om-Øerne hos Færgeløbskasserer, N. Møller i Nyborg."
351382,ode_110494,"Den forevigede Schleiermacher skal paa sin Dødseng have givet Præsten Jonas ved Nicolai Kirken i Berlin det Hverv, at ordne hans Kollegiehæfter, og at udgive dem tilligemed de af hans øvrige Papirer, der forekomme ham at være skikkede til Offentliggjørelse."
365372,ode_124531,Wiborg. Jdag er udkommet: Bidrag til Tidshistorien. Et Ugeblad. Ne 8. Jndhold. Den 30ologiske Have i London.
271513,ode_030449,"Paa Vestergade i Huset No. 223 kan bekommes nye gode Dør=Sivmattet og Riiskoste. Paa Adressekontoiret faaes. Tvende Prædikener, holdne i St. Knuds Kirke i Odense den 31 December 1815 og 1 Januar 1816 af Dr. og Stiftsprovst Tetens, Ridder af Danebrog. Efter Anmodning trykte og sælges til Fordeel for de Brandlidte i Narstal. Prisen er 1 Rbdlr. for Expl. indheftet, eller hvad Mere Nogen ellers maatte ville give til forbemeldte velgjørende Bestemmelse."
397239,ode_156477,"En Jomfrue, som i 5 Aar har conditioneret som Lærerinde, ønsker sig anbragt i samme Fag. Hun giver Underviisning i Dansk, Tydsk, Fransk, Tegning, Regning, Skrivning, samt alle brugelige Haandarbeider. Den bedste Rekommendation fra det Sted, hvor hun har været, forevises. De herpaa Reflecterende vilde henvende sig paa Adressecontoiret med en Billet, mærket S. A."
