,article_id,date,embedding,n_chunks_orig,clean_category,nøgle,text,category,article_length,characters,embedding_shape,newspaper,label_type,book_announce,comment,predicted_book_announce
1156,lol_001166,1809-08-25,"[ 0.00793858  0.00291229 -0.00249133 ... -0.01032534 -0.03069214
 -0.01291651]",1,Bekjendtgjørelser,1809-08-25_2137,"De af Selskabet for Oplysningens og Jndustriens Fremme for tilkommende Aar udsatte Præmier blive i Dag trykte og sendte til Hr. Pastor Dyssel, for at sættes i Omløb.",Bekiendtgiørelser,28,165,[1024],lol,gold,unknown,,y
1163,lol_001173,1809-08-25,"[ 0.01992066  0.01259778 -0.02204986 ... -0.01749957 -0.02450773
 -0.00274749]",1,Bekjendtgjørelser,1809-08-25_2145,"Veiviser eller Anviisning til Kjøbenhavns, Christianshavns, samt Forstædernes Beboere, for Aaret 1809. Udgivet af Hr. Lange, Auditeur ved det borgerlige Jnfanterie, samt Mynster-Skriver ved Brand=Corpset, hæftet 5 Mk.",Bekiendtgiørelser,28,217,[1024],lol,gold,unknown,,y
1165,lol_001175,1809-08-25,"[ 0.01904344  0.01449811 -0.02225478 ... -0.04564077 -0.06329554
  0.00398828]",1,Bekjendtgjørelser,1809-08-25_2147,"Den lystige Kjøbenhavner, eller nyeste Samling af morsomme Anecdoter, latterlige Tildragelser, skiemtsomme Jndfald og vittige Svar. Samlet og forlagt af L. Becken. Kbhvn 1809, hæftet 26 sk. Landstedet ved Kongeveien, et Lystspil i eet Optog af A. v. Kotzebue, oversat og forandret af S. T. Bang Fuldmægtig i Rentekammeret. Mariboe 1809. 24 s.",Bekiendtgiørelser,53,342,[1024],lol,gold,unknown,,y
1203,lol_001213,1809-09-01,"[ 0.02943103  0.01325949 -0.01093718 ... -0.02555817 -0.03839198
 -0.00639799]",1,Bekjendtgjørelser,1809-09-01_2221,"Paa Mariboe Adresse-Contoir kan følgende Bøger bekommes tilkjøbs. Kunigunde, dobbelt Mordbrænderinde af Skindsyge. Af J. H. Spies. Overs, ved Fr. Møller. Kbhavne 1807. 10 s.",Bekiendtgiørelser,25,173,[1024],lol,gold,unknown,,y
1227,lol_001238,1809-09-05,"[ 0.04669679 -0.00207141 -0.02041317 ... -0.03530549 -0.02796699
 -0.01655423]",1,Bekjendtgjørelser,1809-09-05_2266,Paa Mariboe Adresse-Contoir kan følgende Bøgrebekommes tilkiøbs. De ni Tvillinger. En Ridder- og Spøgelsehistorie. fra det ellevte Aarhundrede. Oversat af Peter Bagge. 3 Mk.,Bekiendtgiørelser,24,173,[1024],lol,gold,unknown,,y
1253,lol_001264,1809-09-08,"[ 0.05471387  0.00792462 -0.01028769 ... -0.0356455  -0.041135
 -0.00302077]",1,Bekjendtgjørelser,1809-09-08_2317,"Pan Mariboe Adresse-Contoir kan følgende Bøger bekommes tilkjöbs. Arkadien, et Malerie af det menneskelige Hierte. Af A. Lasontaine, 1ste Deel Oversat af S. T. Bang. Kbhavn 1807, 1 Rdlr. 1 Mk.",Bekiendtgiørelser,31,192,[1024],lol,gold,unknown,,y
1254,lol_001265,1809-09-08,"[ 0.03511674  0.02098015 -0.01479262 ... -0.01946212 -0.05148504
 -0.01168635]",1,Bekjendtgjørelser,1809-09-08_2318,"Peter den Stores Gemalinde, Catharina den Førstes mærknærdige Levnet. Af C. G. Claudius. Oversat ved Anton Bek, med en Fortale af K. L. Rahbek. Kbhavn 1807, 2 Mk. 8 s.",Bekiendtgiørelser,30,167,[1024],lol,gold,unknown,,y
1255,lol_001266,1809-09-08,"[ 0.02619933  0.00570207 -0.01979901 ... -0.0485621  -0.02279459
  0.01232733]",1,Bekjendtgjørelser,1809-09-08_2319,"Den nye Fædreskole eller Fader og Søn paa Moden. Lystspil i een Act af Etienne og GangniranNanten. Ved R. L. Rahbok Kbhavn 1807. 1 Mk. 4 s. Døbesedlen, eller Moderen sin Datters Rival. Comedie i een Act af L. B. Picard. Ved K. L. Rahbek. Kbhavn 1807. 1 Mk. 10 s.",Bekiendtgiørelser,51,262,[1024],lol,gold,unknown,,y
1265,lol_001276,1809-09-12,"[ 0.0283207   0.02069882 -0.01312019 ... -0.01690889 -0.04201666
  0.01190201]",1,Bekjendtgjørelser,1809-09-12_2363,"De mærkværdigste og tilforladeligste Tildragelser i Siælland og Lolland under Beleiringen 1807 eller nøiagtig Beskrivelse over Slaget ved Kjøge, Landeværns Mændenes Opførsel m. m. i Breve til en Ven af W. v. Tanch Capitaine. Kbh. 1808. 1 Mk. 4 s. Hos undertegnede kan bekommes for sædvanlig Bogladepriis alle uden, og indenlandske Skrifter, naar Vedkommende desangaaende vil melde sig paa C. F. Schulz.",Bekiendtgiørelser,62,402,[1024],lol,gold,unknown,,y
1381,lol_001392,1809-09-29,"[ 0.02829776  0.02061162 -0.01062261 ... -0.02453405 -0.04845124
  0.01719048]",1,Bekjendtgjørelser,1809-09-29_2573,"Commedie Giftermaalet eller de blev taget ved Næsen, Comedie i 1 Act efter Dorvigny, ved K. L Rahbek, Kbhavn 1807 1 Mk. 8 s.",Bekiendtgiørelser,24,124,[1024],lol,gold,unknown,,y
1382,lol_001393,1809-09-29,"[ 0.05600849  0.01557517 -0.02665625 ... -0.03449626 -0.02331208
 -0.0234183 ]",1,Bekjendtgjørelser,1809-09-29_2574,"Løier Et Brev paa Vers til Joh. Nordahl Bruun, Af Niels Tønder Lund Gunnerus, Kbh. 1807 1 Mk. 4 s. Foraaret, af James Thomson, oversat af PeterFoersom, kongelig Skuespiller, 2 Mk. 12 s.",Bekiendtgiørelser,33,185,[1024],lol,gold,unknown,,y
1430,lol_001441,1809-10-06,"[ 0.02842519  0.02396341  0.00504981 ... -0.01831013 -0.02694705
 -0.00159547]",1,Bekjendtgjørelser,1809-10-06_2651,"Bekjendtgjørelser. Da udenlandske Tidender og Tidsskrivter i den senere Tid ere stegne til det dobbelte, er det for nærværende Tid næsten en Umuelighed for enkelt Mand, det har Lyst til at see sig om i Litteraturens, Videnskabernes og Kunsternes Riger, at tilfredsstille sin Videlyst.",Bekjendtgjørelser,44,284,[1024],lol,gold,unknown,,y
1431,lol_001442,1809-10-06,"[ 0.02945241  0.00400992 -0.00994287 ... -0.02411282 -0.03983613
  0.01107675]",1,Bekjendtgjørelser,1809-10-06_2653,"For at afhielpe denne Mangel her i Stiftet, har Jeg besluttet, dersom Jeg seer mig skadesløs, at oprette ved Begyndelsen af næste Aar, et Leiebibliothek, der for det første skal bestaae af følgende Tidender og Tidsskrivter: Allgemeine Litteratur Zeitung, Børsenhalle, Landwirtschaftlichezeitung, Politisches Journal, Archenholts Minerva, Posselts Analen, Leipziger Mode Magazin, Annalen des Ackerbaues v.",Bekjendtgjørelser,54,404,[1024],lol,gold,unknown,,y
1432,lol_001443,1809-10-06,"[ 0.02104485  0.00190476 -0.00968987 ... -0.02869562 -0.03239955
  0.01784328]",1,Bekjendtgjørelser,1809-10-06_2654,"Thaer. Subskribenterne vælge selv ved Affordingen, hvilke Skrifter de ønske til Giennemlæsning. Med Hensyn til Subscribenternes større eller mindre Antal udleveres 2 eller 3 Hefter ad Gangen.",Bekjendtgjørelser,27,191,[1024],lol,gold,unknown,,y
1487,lol_001498,1809-10-13,"[ 0.03329819  0.00331406 -0.00895735 ... -0.01854515 -0.03636743
  0.0092826 ]",1,Bekjendtgjørelser,1809-10-13_2748,"For at afhielpe denne Mangel her i Stiftet, har Jeg besluttet, dersom Jeg seer mig skadesløs, at oprette ved Begyndelsen af næste Aar, et Leiebibliothek, der for det første skal bestaae af følgende Tidender og Tidsskrivter, Allgemeine Litteratur Zeitung, Borsenhalle, Landwirtschaftlichezeitung, Politisches Journal, Archenholts Minerva, Posselts Analen, Leivziger Mode Magazin, Annalen des Ackerbaues v.",Bekjendtgjørelser,54,404,[1024],lol,gold,unknown,,y
1488,lol_001499,1809-10-13,"[ 0.01803343  0.00082741 -0.01261053 ... -0.02594833 -0.03058039
  0.01858673]",1,Bekjendtgjørelser,1809-10-13_2749,"Thaer. Subskribenterne vælge selv ved Affordringen, hvilke Skrifter de ønske til Giennemlæsning. Med Hensyn til Subscribenternes større eller mindre Antal udleveres 2 eller 3 Hefter ad Gangen.",Bekjendtgjørelser,27,192,[1024],lol,gold,unknown,,y
1569,lol_001581,1809-10-27,"[ 0.0550174   0.00878592 -0.02962857 ... -0.01704948  0.00718167
 -0.00184373]",1,Bekjendtgjørelser,1809-10-27_2926,"Ved S. T. Hr. Pastor Hammer i Sundbye, fra Stadager og Nørre Kirkebye Sogn, 7 Rd. 12 s. Deraf fra Hr. Hammer2 Rd.",Bekjendtgjørelser,23,113,[1024],lol,gold,unknown,,y
1578,lol_001590,1809-10-27,"[ 0.02499931  0.01675237  0.00581339 ... -0.01795522 -0.02620755
 -0.00273694]",1,Bekjendtgjørelser,1809-10-27_2937,"Da udenlandske Tidender og Tidsskrivter i den senere Tid ere stegne til det dobbelte, er det for nærværende Tid næsten en Umuelighed for enkelt Mand, der har Lyst til at see sig om i Litteraturens, Videnskabernes og Kunsternes Riger, at tilfredsstille sin Videlyst.",Bekjendtgjørelser,43,265,[1024],lol,gold,unknown,,y
1579,lol_001591,1809-10-27,"[ 0.02538799  0.0028594  -0.00877934 ... -0.02301809 -0.03982159
  0.00931718]",1,Bekjendtgjørelser,1809-10-27_2938,"For at afhielpe denne Mangel her i Stiftet, har Jeg besluttet, dersom Jeg seer mig skadesløs, at oprette ved Begyndelsen af næste Aar, et Leiebibliothek, der for det første skal bestaae af følgende Tidender og Tidsskrivter: Allgemeine Litteratur Zeitung, Børsenhulle, Landwirtschaftlichezeitung, Politisches Journal, Archenholts Minerva, Posselts Analen, Leipziger Mode Magazin, Annalen des Ackerbaues v.",Bekjendtgjørelser,54,404,[1024],lol,gold,unknown,,y
1580,lol_001592,1809-10-27,"[ 0.00955831  0.00111617 -0.01957985 ... -0.0260251  -0.03003221
  0.02161187]",1,Bekjendtgjørelser,1809-10-27_2939,"Thaer. Sbskribenterne vælge selv ved Affordringen, hvilke Skrifter de ønske til Giennemlæsning. Med Hensyn til Subscribenternes større eller mindre Antal udleveres 2 eller 3 Hefter ad Gangen.",Bekjendtgjørelser,27,191,[1024],lol,gold,unknown,,y
1622,lol_001634,1809-11-03,"[ 0.02499931  0.01675237  0.00581339 ... -0.01795522 -0.02620755
 -0.00273694]",1,Bekjendtgjørelser,1809-11-03_3013,"Da udenlandske Tidender og Tidsskrivter i den senere Tid ere stegne til det dobbelte, er det for nærværende Tid næsten en Umuelighed for enkelt Mand, der har Lyst til at see sig om i Litteraturens, Videnskabernes og Kunsternes Riger, at tilfredsstille sin Videlyst.",Bekjendtgjørelser,43,265,[1024],lol,gold,unknown,,y
1623,lol_001635,1809-11-03,"[ 0.03174967  0.00541701 -0.00877873 ... -0.02483381 -0.03801242
  0.01093637]",1,Bekjendtgjørelser,1809-11-03_3014,"For at afhielpe denne Mangel her i Stiftet, har Jeg besluttet, dersom Jeg seer mig skadesløs, at oprette ved Begyndelsen af næste Aar, et Leiebibliothek, der for det første skal bestaae af følgende Tidender og Tidsskrivter, Allgemeine Litteratur Zeitung, Borsenhalle, Landwirtschaftlichezeitung, Politisches Journal, Archenholts Minerva, Posselts Analen, Leipziger Mode Magazin, Annalen des Ackerbaues v.",Bekjendtgjørelser,54,404,[1024],lol,gold,unknown,,y
1624,lol_001636,1809-11-03,"[ 0.01803343  0.00082741 -0.01261053 ... -0.02594833 -0.03058039
  0.01858673]",1,Bekjendtgjørelser,1809-11-03_3015,"Thaer. Subskribenterne vælge selv ved Affordringen, hvilke Skrifter de ønske til Giennemlæsning. Med Hensyn til Subscribenternes større eller mindre Antal udleveres 2 eller 3 Hefter ad Gangen.",Bekjendtgjørelser,27,192,[1024],lol,gold,unknown,,y
1703,lol_001715,1809-11-17,"[ 0.03840977  0.00067301 -0.01627183 ... -0.02941497 -0.01978239
  0.0069182 ]",1,Bekjendtgjørelser,1809-11-17_3164,"O. H. Lybecker. Til den brandlidte Skolelærer i Taagense har jeg modtaget: Af Hr. Major v. Bibow - 5 Rd. - Holm. = = = 1 Rd. - Provst Grundtvig = 4 Rd. Pastor Dalhoff, 3 Rd. Wolf = = = 2 Rd. Formann = = 2 Rd. Halse 2 Rd. Pontoppidan = = 2 Rd. – Dr. Klausen = = 1 Rd. Klokker Klausen. 1 Rd. En Unævnt = 1 Rd. Skolelærer Tiicksen, 1 Rd. Jespersen = = = 1 Rd. Lassen = = = 3 Mk. Søegaard = = = 3 Mk. 3 Mk. 4 Torværd = = 27 Rd. 3 Mk.",Bekjendtgjørelser,104,429,[1024],lol,gold,unknown,,y
1727,lol_001739,1809-11-20,"[ 0.02380047  0.01330823 -0.00882631 ... -0.01863962 -0.03357274
  0.02593319]",1,Bekjendtgjørelser,1809-11-20_3211,"Dersom en velvoxen Dreng af skikkelige Forældre, og som kan læse al Slags Skrivt, har Lyst til at lære Bogtrykkerkunsten, kan han strax blive antaget C. F. Schulz.",Bekjendtgjørelser,28,163,[1024],lol,gold,unknown,,y
1783,lol_001795,1809-12-05,"[ 0.03563828  0.00975635 -0.01503016 ... -0.03149666 -0.05220585
 -0.02161364]",1,Bekjendtgjørelser,1809-12-05_3298,Addresse-Contoiret i Mariboe anviser et vel conditioneret Exemplar af Rosenmüllers Scholig over det nye Testamente tilkiøbs for 6 Rdlr.,Bekjendtgjørelser,19,135,[1024],lol,gold,unknown,,y
1822,lol_001834,1809-12-12,"[ 0.01884314  0.02579251  0.0012215  ... -0.02161685 -0.02262986
  0.00444444]",1,Bekjendtgjørelser,1809-12-12_3367,"Bekjendtgjørelser. Jndbydelse. Da udenlandske Tidender og Tidsskrivter i den senere Tid ere stegne til det dobbelte, er det for nærværende Tid næsten en Umuelighed for enkelt Mand, der har Lyst til at see sig om i Litteraturens, Videnskabernes og Kunsternes Riger, at tilfredsstille sin Videlyst.",Bekjendtgjørelser,45,296,[1024],lol,gold,unknown,,y
1823,lol_001835,1809-12-12,"[ 0.0307398   0.00220225 -0.00906228 ... -0.01798178 -0.03480869
  0.00253713]",1,Bekjendtgjørelser,1809-12-12_3370,"For at afhielpe denne Mangel her i Stiftet har Jeg besluttet, dersom Jeg foer mig skadesløs, at oprette ved Begyndelsen af næste Aar, et Leiebibliothek, der for det første skal bestaae af følgende Tidender, og Tidsskrivter: Allgemeine Litteratur Zeitung, Børsenhalle, Landwirtschaftlichezeitung, Politisches Journal, Archenholts Minerva, Posselts Annalen, Leie, ziger Mode Magazin, Annalen des Ackerbaurs d.",Bekjendtgjørelser,55,407,[1024],lol,gold,unknown,,y
1824,lol_001836,1809-12-12,"[ 0.02301479  0.00128868 -0.01411126 ... -0.02750084 -0.03026524
  0.0204177 ]",1,Bekjendtgjørelser,1809-12-12_3371,"Thaer. Subskribenterne vælge selv ved Affordringen, hvilke Skrifter de ønske til Gjennemlæsning. Med Hensyn til Subscribenternes større eller mindre Antal udleveres 2 eller 3 Hefter ad Gangen.",Bekjendtgjørelser,27,192,[1024],lol,gold,unknown,,y
1901,lol_001913,1809-12-24,"[ 0.02380047  0.01330823 -0.00882631 ... -0.01863962 -0.03357274
  0.02593319]",1,Bekjendtgjørelser,1809-12-24_3521,"Dersom en velvoxen Dreng af skikkelige Forældre, og som kan læse al Slags Skrivt, har Lyst til at lære Bogtrykkerkunsten, kan han strax blive antaget C. F. Schulz.",Bekjendtgjørelser,28,163,[1024],lol,gold,unknown,,y
1914,lol_001926,1809-12-28,"[ 0.02126774  0.01769179 -0.00862723 ... -0.02046243 -0.03148229
  0.02210261]",1,Bekjendtgjørelser,1809-12-28_3549,"Dersom en velvoxen Dreng af skikkelige Forældre, og som kan læse al Slags Skrivt, har Lyst til at lære Bogtrykkerkunsten, kan han strax blive antaget C. C. Schulz.",Bekjendtgjørelser,28,163,[1024],lol,gold,unknown,,y
1975,lol_001987,1810-01-09,"[ 0.03172351  0.02591745 -0.00467053 ... -0.00669198 -0.02210461
  0.0089621 ]",1,Bekjendtgjørelser,1810-01-09_3675,"Bekjendtgjørelser. Gudstjenesten begynder 2den Søndag efter H. tre R. 14 Jan. dennes Kl. 10 i Mariboe, til Taksigelse for Freden med Sverrig; i Hillested Kl. 12 1/2 s. Dag Provinsial-Bogsamlingen.",Bekjendtgjørelser,30,196,[1024],lol,gold,unknown,,y
1982,lol_001994,1810-01-09,"[ 0.00940401  0.0109932  -0.01561697 ... -0.03268109 -0.01388142
  0.01433924]",1,Bekjendtgjørelser,1810-01-09_3688,"Hvorfor overmale nogle de Bøger, de læse, med hjeroglyphiske og magiske Figurer, Læse saadanne blot for at dræbe Tiden, eller for at oplyse Forstanden, berolige Hjertet og forædle Villien? Hvilke Bøger burde enhver læse, men ikke blot læse, men ogsaa studere, som vil lære at kjende sig selv og andre.",Bekjendtgjørelser,50,301,[1024],lol,gold,unknown,,y
2035,lol_002047,1810-01-16,"[ 0.00800824 -0.01348814 -0.01992166 ... -0.03719901 -0.0327745
 -0.00023697]",1,Bekjendtgjørelser,1810-01-16_3788,"Svar. Det veed Udgiveren ikke, da i den fra Nyekjøbing indsendte Bekjendtgjørelse intet desangaaende var ommeldt. Litteratur.",Bekjendtgjørelser,17,125,[1024],lol,gold,unknown,,y
2036,lol_002048,1810-01-16,"[ 0.03598666 -0.01488481 -0.00979053 ... -0.00438137 -0.03189275
 -0.00125559]",1,Bekjendtgjørelser,1810-01-16_3790,"Arkadien; et Malerie af det menneskelige Hjerte; af A. Lasontaine; 2 D., oversat af H. H. Hassler. Kbhavn. 1808.",Bekjendtgjørelser,19,112,[1024],lol,gold,unknown,,y
2037,lol_002049,1810-01-16,"[ 0.02046543  0.02327378 -0.00374001 ... -0.03985058 -0.04354918
  0.01959222]",1,Bekjendtgjørelser,1810-01-16_3791,"Komedie=Giftermaalet eller de blev taget ved Næsen, Komedie i een Akt efter Dorvigny. Ved K. L. Rahbek. Kbhavn 1807. Døbesedlen eller Moderen sin Datters Rival, Comedie i een Act af L. B. Pirard. Ved K. L. Rahbek. Kbhavn. 1807.",Bekjendtgjørelser,39,227,[1024],lol,gold,unknown,,y
2038,lol_002050,1810-01-16,"[ 0.03354841  0.00948613 -0.01277342 ... -0.00818817 -0.04818774
  0.01022517]",1,Bekjendtgjørelser,1810-01-16_3794,"Om Venskab af Markus Tullius Cicero, oversat af det Latinske med nogle Anmærkninger ved Anders Faaborg Mülerz. Kbh. 1807.",Bekjendtgjørelser,19,121,[1024],lol,gold,unknown,,y
2039,lol_002051,1810-01-16,"[ 0.04626223 -0.00140362 -0.02476399 ... -0.03019184 -0.02085666
 -0.00273652]",1,Bekjendtgjørelser,1810-01-16_3795,"De 9 Tvillinger. En Ridder- og Spøgelsehistorie fra det 11de Aarhundrede. Oversat af Peter Bagge, faaes paa Mariboe Addresse=Contoir tilkjøbs.",Bekjendtgjørelser,20,142,[1024],lol,gold,unknown,,y
2132,lol_002144,1810-01-30,"[ 0.01114363  0.01297839 -0.01415382 ... -0.0041264  -0.06187326
 -0.04075839]",1,Bekjendtgjørelser,1810-01-30_3964,"Bekjendtgjørelser. Siden sidste Kundgiørelse er til den forulykkede norske Enke Birthe Cathrine Woll indkommen: fra N. B. i Thorebye 2 Rdlr., for hvilke den menneskekierlige Giver ydes hiertelig Taksigelse.",Bekjendtgjørelser,29,206,[1024],lol,gold,unknown,,y
2133,lol_002145,1810-01-30,"[ 0.00360286  0.0029627  -0.01513303 ... -0.00941944 -0.04762174
 -0.00169839]",1,Bekjendtgjørelser,1810-01-30_3966,"Det være mig, for den gode Hensigts Skyld, tilladt, at hidsætte følgende Paategning paa et Brovfra den Forulykkede til mig: dat 21de dennes, ""At ovenstaaende Enke fortjener al den Understøttelse, medlidende Mennesker maatte ville undehende, er viist og sandt, saalænge det forbliver Sandhed, at Virksomhed i Liv og Mod i Uheld have Krav paa alle Godes Deeltagelse. Hun anbefales, efter hendes Ønske, paa det varmeste Professor F. Høegh Guldberg.",Bekjendtgjørelser,69,445,[1024],lol,gold,unknown,,y
2238,lol_002250,1810-02-13,"[-0.00185943  0.00286665 -0.03651292 ... -0.00469138 -0.03590611
 -0.01733122]",1,Bekjendtgjørelser,1810-02-13_4171,Denne med de øvrige ædelmodige Givere takkes C. C. Schulz. paa det inderligste af,Bekjendtgjørelser,14,81,[1024],lol,gold,unknown,,y
2307,lol_002319,1810-02-23,"[ 0.03671373  0.01522081 -0.00935151 ... -0.01993835 -0.0434152
 -0.00654551]",1,Bekjendtgjørelser,1810-02-23_4301,"Spørgsmaal. Hr. Pastor. Hvorfor hører man intet fra Dem, Fattigvæsenet angaaende i Maribo, Faaer den Fattige Almissen lige i Haanden, eller søger man ved Arbeide at nøde den til at fortjene sin Almisse? J hvad Forfatning er Daarekisten?",Bekjendtgjørelser,38,236,[1024],lol,gold,unknown,,y
2394,lol_002407,1810-03-06,"[ 0.02365195  0.00064519 -0.03441843 ... -0.02356086 -0.0525744
 -0.01878948]",1,Bekjendtgjørelser,1810-03-06_4455,"Paa Addresse-Contoiret i Mariboe kan bekommes tilkjøbs : Dionysius den Halikarnassers Fortælling om Roms Damer og Fruentimre, der reddede deres Fædreneland fra at falde i fjendtlige Hænder. Oversat paa Dansk og forsynet med Anmærkninger af Hans Christian Clausen, Sognepræst for Nordbye, Menighed paa Fanøe.",Bekjendtgjørelser,44,307,[1024],lol,gold,unknown,,y
2413,lol_002426,1810-03-09,"[-0.00097303  0.0075354  -0.01548164 ... -0.00112685 -0.0252283
 -0.01165667]",1,Bekjendtgjørelser,1810-03-09_4486,"De fra Cancelliet tilsendte Prydelser, 2de af første Classe og i af 3die Classe bleve nu af Stiftamtmanden uddeelte, med Erindring at de af Hans Majestæt dem selv vare skjænkede.",Bekjendtgjørelser,30,178,[1024],lol,gold,unknown,,y
