,article_id,date,text
188504,aal_103501,1834-06-11,"Odense, den 26de Mai 1834. S. Hempel. Stryggromme til at aftrække Barbeer, og Penneknive paa, af Hr. H. C. Heinrichs bekjendte gode Sorter, er alene i Oplag hos S. A. Jacobsen. Gode Flensborger Formelys faaes hos i Caspar Hassing."
116348,aal_031261,1823-01-27,"Under 10de Januar er udkommen en Forordning af følgende Jndhold: Vi Frederik den Sjette, af Guds Naade Kongetil Danmark, &c. &c. Gjøre vitterligt: J Betragtning af de endnu vedvarende, for Besiddere af Landeiendomme, ugunstige, Tidsomstændigheder have Vi, for at disse Vore Undersaattere i Vort Rige Danmark kunne erholde en billig Lettelse, allernaadigst besluttet, i et Tidsrum af 3 Aar, fra 1ste Julii forrige Aar at regne, aarlig, i ethvert af bemeldte 3 Aar, at eftergive 400000 Rbdlr. Sølv af den ved Vor Forordning af 15de April 1818 paabudne Landskats Beløb af Jorder og Tiender. Derimod vil ingen saadan Korn-Udskrivning, som den, der i de 3de sidstforløbne Aar har været paabuden ved Vore Forordninger af 2den August 1820, 20de Julii 1821 og 19de Julii 1822, finde Sted i noget af de herefter følgende Aar, i hvilke den nu allernaadigst bevilgede Eftergivelse vedvarer. Thi byde og befale Vi, som følger: §. 1. J et Tidsrum af 3 Aar, fra den 1ste Julii forrige Aar at regne, bevilges aarligen, for ethvert af bemeldte 3 Aar, følgende Eftergivelse i den ved Vor Forordning af 15de April 1818 paabudne Landskat saavel af Jorder som af Tiender: I af Jorder: 1) af privilegeret Hartkorn: a) for hver Tønde Hartkorn Ager og Eng 72 Rbs. Sølv; b) for hver Tønde Hartkorn Skovog Mølleskyld 36 Rbs. Sølv; 2) af uprivilegeret eller contribuerende Hartkorn: a) for hver Tønde Hartkorn Ager og Eng 1 Rbd. 4 s. Sølv; b) for hver Tønde Hartkorn Skov= og Mølleskyld 50 Rbs. Sølv; Il. af Tiender: 1) for hver Tønde tiendeydende Hartkorn, for enhver at de 2de Tiende Andele, Konge- og Kirke-Tiende: 2) naar Tienden er afhandlet for bestandigen til Yderen imod en fastog uforanderlig aarlig Pengebetaling, 1 Rbs. Sølv af de i Vor Forordning af 15de April 1818, §. 2. H. 1. 2 paabudne 4 Rbs. Sølv; b) naar den er under andre Vilkaarfor bestandigen overdragen Yderen, 6 Rbs. Sølv; c) naar Embedsmænd, der ere benificerede med Tiender, have før Begyndelsen af Aaret 1808 imod en fast og uforanderlig aarlig Pengebetaling for deres Embedstid bortaccorderet samme til Yderen, 1 Rbs. Sølv af de i Vor Forordning af 15de April 1818, §. 2 Il. 1. c. paabudne 5 Rbs. Sølv; d) naar Tienden i andre Tilfælde er overladt Yderen for en vis Tid, eller den hæves i Kjærven, 6 Rbs. Sølv; 2) for hver Tønde uprivilegeret matrikuleret Konge- og Kirke-Tiende Hartkorn 4 Rbs. Sølv. Dog skal, med Hensyn til forhen gieldende særdeles Bestemmelser, Eftergivelsen for Hirschholms Gods, samt for Vore Lande Amager og Bornholm, være saaledes fastsat, nemlig: A. for Hirscholms Gods: l. af Jorder: 1) af privilegeret Hartkorn: a) for hver Tønde Hartkorn Ager og Eng 66 Rbs. Sølv; b) for hver Tønde Hartkorn Skovskyld 33 Rbs. Sølv; 2) af uprivilegeret eller contribuerende Hartkorn: a) for hver Tønde Hartkorn Ager og Eng 1 Rbdlr. Sølv; b) for hver Tønde Hartkorn Skov= og Mølleskyld 48 Rbs. Sølv; Il. af Tiender, for hver Tønde tiendeydende Hartkorn, for enhver af de 2de Tiende Andele, Konge- og Kirke-Tienden, den samme Eftergivelse, som foran for det tiendeydende Hartkorn i Almindelighed er bestemt."
379217,ode_138427,1839-07-16,"J min Bopæl ønsker jeg, fra næste Maaneds Begyndelse, at oprette en Aftenskole, hvor saavel Begyndere som ældre Børn, kunne vorde optagne. Underviisningstiden bliver 3 a 4 Timer. daglig, fra Kl. 4 Eftermiddag af. Læregjenstandene, der naturligviis maa rette sig efter Elevernes Alder og Fatteevne, ville for de ældre Børn blive følgende: Læsning, Religion, Regning, Skrivning, Historie, Geographie, Grammatik og Tydsk, saavelsom danske og tydske Stilløvelser. Betalingen for en Maaneds Underviisning bliver fra 4 Mk. til 8 Mk. efter nærmere Aftale med Forældrene. At vinde Forældrenes Tillid ved Elevernes Fremgang, skal stedse være Formaalet for mine Bestræbelser. Nyborg den 15 Juli 1839. Høeg. For en Jomfrue, som kan bestyre en lille Huusholdning paa Landet, bliver en Plads ledig til 1 November d. A. De dermaatte ønske denne Plads, bedes skriftlig at melde sig paa Adressekontoiret under Udskrift: Til E. S. Til udlaan: a) 1250 Rbd. Sølv, b) 150 Rbd. rede Sølv, til førstkommende 11 Decbr. af offentlige Midler, imod anordningsmæssig Sikkerhed, kan faaes, naar man henvender sig til Kirkeværge, S. Hempel."
566536,vib_051292,1819-10-29,"Følgende Skolebager faaes hos Undertegnede mod Contant: Lærebøger, a Dosinet 15 Rbmk. Karekismusser, a Dusinet 9 Rbmk. A B 6, a Dusinet 10 Rbmk. Thonboes bibelske Historie, 8tende Oplag, a Dusiner 6 Rbd. Birchs Dito Dito, a Dusinet 3 Rbd. Holstes Lidetraad, a Dusinet 3 Rbd. 3 Mk. Evangeliske Platmebøger, storstilede, a Ex. 10 Mk. 8 s. Dito Dito smaastrede, a Ex. 8 Mk. Aalborg den 12te October 1819. Rottbell Sadolin. Boghandler og Bogbinder."
19436,lol_019510,1817-04-01,"Sognefoged. Da den Kongelige Danske Hof- og Statscalender, for 1817, udgivet af Justitsraad Frost, er nu udkommen, saa er Udgiveren, imod en billig Recognition og Omkostningernes Godtgjørelse, villig til at forskrive af dette for enhver Embedsmand ligesaa nyt tige som nødvendige Værk (der koster 9 Rbd.) saa mange Exemplarer, som deraf maatte bestilles. Kloverfrøe kjøbes og sælges af Thun i Mariboe."
562760,vib_047504,1819-03-01,"Stæders og Provindsers Beskrivelser have en særdeles historisk Mærkelighed; men for den nulevende og kommende Slægt have de desuden en særegen Jnteresse. For netop 40 Aar siden i Februar 1779. udgav Præsten Hr. Andreas Christian Krog sin Beskrivelse over Staden Viborg, trykt paa Bogtrykker Mangors Forlag sammesteds. Den er et Uddrag af den ældre haandskrevne Beskrivelse over Viborg, af Mag. Pastor Chr. Erichsen, som findes paa Hs. Maj. Kongens Bibliothek, med nogle tilføiede senere Forandringer. At udgive denne minFødebyes Historie, fortsat til denne Tid; at udstyre den, som Jndfødt og dens Fostersøn, noget bedre end det for 40 Aar siden var den flittige Hr. Krog muligt; at fremstille, hvad de senere 40 Aar bevirkede til dens Opkomst, der endda ikke er saa lidet, at give en udførligere Efterretning om dens Næringsbrug, og derimod give Slip paa de ældgamle for os intetbetydende Copier af Epitafier og Liigsten der allerede ere ødelagde, er min Hensigt, Jeg har været saa heldig at erholde tillaans sal. Cancellieraad C. Thestrups originale Kart og Grundtegning over den sidste store Jldebrand i Viborg, 1726, og man seer der tydelig hvert Huus den brændte og hvad der blev staaende. Dette agter jeg at lade stikke i Kobber og lade følge med. Paa en saadan Beskrivelse over Stiftsstaden, Viborg indbyder jeg herved til Subskription, da jeg ellers ikke ævner at udgive den. Prisen skal blive billig og under sædvanlig Bogladepriis. Paa 5 Exemplarer som tages og betales, gives det 6te frit. Man behager at bestemme, om man ønsker Tryk= eller Skrivpapiir. Mine Herrer Kommissionairer og de Herrer Boghandlere og andre, som ville bidrage til Udgaven, behage man at tegne sig hos, som og hos Forfatteren. Endskiøndt jeg har samlet i endeel Aar paa Bidragt til dens Beskrivelse, vil det særdeles meget forbinde mig, om Nogen i eller udenfor Byen ville meddele mig hvad de maatte vide i saa Henseende, da jeg, ifald det er Manuskripter der forlanges tilbage, skal taknemmelig være ansvarlig derfor."
271249,ode_030185,1816-02-12,"Et godt Fortopiano anvises tilkjöbs fra Adreskkentoiret. Paa Adrssecontoiret fares: Beretning om de vidtbekjendte Molboers vise Gjerninger og tappre Bedrifter, 1 Mk. 4 s. heftet, Da den over afdøde Madame Grønvalds Efterladenskaber anverterede Auction i Brobye, ikke, formedelst det indtrufne haarde Veir, blev afholdt, saa er denne Auction igjen berammet til Fredagen den 16 d. M. om Formiddagen Klokken 10. - Odense Herredskontoir den 10 Februar 183. C. A. Falbe. 2. Acht Reichsbankschilling. Fkr. (Wird mit der Halfte mehr bezahlt.) miVon Gerichtswegen und bei nach3meite Classe gesetzter Commination, gediete Jch, zu Expeditionen &c. Johann Christian Friedetil misrich Heinzelmann, Königl. 1816. Ebbesen. Etatsrath und Landvogt, Ritter pr. Demach Johann Kramer am Helserdeich, Hinrich Bockelmann in Helse, Hinrich Wilckens in Menghusen, Matthies Peters in Trennewurth, Mart Glashof am Dieckhuserdeich, Harm Raar in Anenbuttet, Hans Peters Wittwe af Fahrstedterdeich, Johann Nicolaus Rudolph aufm St. Mich. Donn, die auf ihre im Kirchspiel Marne belegene Lündereven haftende Schatzungen resp. pro 1813, 1814 et 1813 underichtiget gelassen, so ist auf Ansuchen des Herrn Kirchspielvogts Maatzen in Marne unterm 31sten Jan. d. J. die Subhastation in der Debitoren Landereyen, so wie das deslige Proclam zugestanden. Es werden dahero alle und jede Creditoren des obbemelJohann Krammer af Helserdrich, deten Hinrich Bockelmann in Helse, Hinrich Wilckens in Menghusen, Matthies Peters in Trennewurth, Mark Glashof am Dieckhuserdeich, Harm Raap in Auenbüttel, hans Peters Wittwe af Fahrstedterdeich, Johann Nicolaus Rudolphausm St. Mich. Doun, hiemittelst anfgefordert, ihre gegen die uber die Landerevender obbemeldeten Debitoren brabsichtigte Subhastation etahabende Einendungen vorhero, und zmar die Einheimischen, innerhalv 6 Wochen, die Ansvartigen aber unter Bestellung, gehøriger Procuratur zu den Acten innerhalb 12 Wochen af dato dieses Proclams gehørig anzubringen und demachstgehørig zu justificiren, middrigen alls die beabsichtigte Subhastation der aufgebotenen Landereven vor sich gehen wird. Wornach sich einjeder sub poena præclusi zu achten, Veldorf, 3 Febr. 1816. in siden Cartheuser. Over den i disse Aviser forud til Salg averterede GaardNo. 363 paa Hjørnet uden Vesterport, er 2den Auction berammet til næstkommende Onsdag den 14 dennes, Formiddag Klokken 10; hvilket herved bekjendtgjøres. Bendz. Paa Nørre-Korsgade i Bager Hartvigs Gaard er adskillige udenlandske Dyr at se for 4 Rbmk. pro Persona; Børn og Tjenestefolk betale det Haler. I Hvis Expeditionen erfares en Kjøber til et Partie Voxte Vox."
365051,ode_124209,1837-02-03,"Kjøbenhavn den 31 Januar 1837. A. F. Schmidt, Krigsraad. Ugeblad for den danske Bonde. Dette forhen averterede Tidsskrivt, som udkommer ugentligen fra Bogtrykkeriet i Randers, og forsendes med Posten overalt i Danmark, indeholder Afhandlinger og Efterretninger, henhørende til Land-Oeconomie og den landlige Jndustrie. Baade udenlandske og indenlandske landeconomiske Efterretninger benyttes. Tillige kundgjør Bladet den Landmanden nærmest vedkommende Lovgivning. Afhandlinger betræffende Landvæsenet, modtages med Forbindtlighed. Bemeldte Tidende kan bestilles paa samtlige Postkontoirer, koster 4 Mk. 8 s. Tegn qvartaliter, og anbefales Fædrenelandets Landmænd. seAbis, Asylet i Odense. Da Asylet i Odense nu er blevet forsynet med de fornødne Apparater og om faa Dage vil træde i Virksomhed, saa indbydes herved Enhver, som interesserer sig for at gjøre sig bekjendt med Lokalets Jndretning, til at tage samme i Øiesyn Fredag den 3die og Løverdag den 4de Februar i Gaarden No. 692 i Nedergade, hvor den antagne Læremoder, Frue Birkedahl, med Fornøielse vil meddele Oplysning til Enhver om det Hele."
365728,ode_124887,1837-03-22,"Hoff. Udvalgte Psalmer. for den stille Uge og Paasken, udgivet af Selskabet for Trykkefrihedens rette Brug, faaes for8 s. paa Adressekontoirets Boglade. Paa Undertegnedes Forlag har nylig forladt Pressen, Nye Samling af Prædikener. tilligemed nogle Casualtaler, af L. Schjødte, Stiftsprovst, R. af D. Bogen er 26 Ark stor, og faaes paa Adressekontoirets Boglade, i Odense for 2 Rbd."
106610,aal_021520,1821-07-11,"En god frisk og sund Amme søger en Ammeplads til 2den October, eller og en Goldammeplads til 1ste Novbr. Tiener, hos Christen Møller paa Nørregade for Amme. Chocolade Oplag. At jeg bestandig har Oplag af den overalt saa yndede fiine Vanillie-Chocolade, af de Herr Rees Fabrik i Aarhuus og at den hos mig, som en Følge heraf, saavel i større Partier (med Rabat), som i pundeviis, kan erholdes for den saa overordentlig billige Fabrikpriis 4 Mk. pr. Pd. af 4 Kager; skulle jeg ikke undlade herved at bekiendtgiøre. Aalborg den 29de Juni 1821. J. H. Levn."
343837,ode_102898,1832-03-22,"J Provindserne vil Hof= og Stats=Calenderen være at erholde paa samtlige Kongel. Postkontoirer for 3 Rbd. 32 s. Sedler og Tegn pr. Exemplar paa Trykpapir. Kjøbenhavn den 21 Febr. 1832. F. Jbsen. Faaes ogsaa paa Adressekontoiret i Odense for 20 Mk. indb. At næstkommende Paaske Flyttedag, ifølge KancellieV. O. Plakat af 9 Marts 1832, er udsat til Torsdagen den 26 April d. A., bekjendtgjøres herved til fornøden Efterretning for alle Vedkommende under denne Kjøbstads Jurisdiktion. Odense Raadstue den 17 Marts 1832. Borgemester og Raad. Da Veien til Hunderup over den saakaldte Langebroe ved Munkemose er en Hunderup Jordbrugere og Beboere allene bevilget Vei, og Hunderup Byes Beboere desaarsag allene har maattet bekoste Broens Jstandsættelse, saa bekjendtgjøres, at Ledet nu for Fremtiden er under Laas, og Veien saaledes spærret for al privat Kjøren og Riden. Hunderup den 8 Marts 1832. Paa Beboernes Vegne Knud Nielsen, Sognefoged. Paa Veien imellem Odense og Fangel er tabt en Pellerine. Finderen modtager en passende Douceur, naar den afleveres paa Politiekammeret i Odense."
18622,lol_018692,1817-01-10,"Tilkjøbs. Paa Addresse-Contoiret faaes: Peder Jensens AB og Læsebog eller Anviisning til paa den naturligste Maade at lære at læse. Et Tillæg til Peder Jensen eller Anviisning til en fornuftig Børne-Opdragelse. Af C. G. Salzmann. Oversat ved Frederik Høegh Guldberg. Andet Oplag. Kbh. 1800. 1 Rbd. 3 Mk. Læsebog og Exempelsamling til Brug i Landsbyeskoler. Samlet og udgivet af Peter Thonboe, forhen residerende Capellan i Nyborg. Sjette Oplag. Kbh. 1816. 1 Rbd. 3 Mk. Arithmetica Tyronica, eller grundig Veiviisning, practice at lære al fornøden Huus- og HandelsRegning, fremsat ved en nye og fordeelagtig Læremaade, efter hvilken en Lærer lige saa let og ligesaa snart kan øve og examinere mange som faae Disciple. Til Nytte og Tjeneste for alle, men i Særdeleshed Fædrelandets Skoler, af ChristianCramet. Med Kongelig Majestæts allernaadigste Privilegio. Nittende Oplag. Kbh. 1816. 2 Rbd. Forstandsøvelser til Brug ved Underviisningen i Almueskoler. Af Christian Ludvig Strøm, Sognepræst, og forhen Feldtprovst. Kbh. 1816. 2"
217806,aal_132856,1839-05-23,"Aalborg Stiftstidende. Adresse-Avis. No 99. Aar 1839. Torsdagen den 23de Mai Denne Avis, som udgives af Jens Chr. Borch & N. Ph. Ree's Enke og redigeres af Bernhard Ree, udgaaer 5 Gange ugentlig og kan bestilles paa alle kongelige Postcontoirer i Danmark og Hertugdømmerne samt paa Stiftsbogtrykkeriet i Aalborg, hvor Prisen er 7 Mk. 8 s. qvartaliter."
299359,ode_058316,1821-09-06,"Hertugdømmene. Redigeres, trykkes og forlægges af Udgiveren Søren Hempel i Odense. at Torsdagen den 6 September 1821."
185776,aal_100762,1833-12-30,"Aalborg Kirker. - Nytaarsaften prædiker i Budolphi Kirke Hs. H. Hr. Stiftsprovst Krarup, i Frue Kirke Hr. Licent. theol. Pastor Hald. J begge Kirker ringes sammen Kl. 3 1/2. Nytaarsdag prædiker til Høimesse i Budolphi Kirke Hs. K. Hr. Biskop Fogtmann, i Frue Kirke Hr. Pastor Fag Til Aftensang i Budolphi Kirke Hr. Pastor Bør sønt i Frue Kirke Hr. Licent. theol., Pastor Hald- en u et Brkjendtgjörelser. man a. paa Leie Bibliotheket i Hobro Jnden Formening, at det vilde være behageligt for Hobro Byes Jndvaanere og Omegnens Beboere, at kunne, for en billig Betaling af 1 Rbd. qvartater, have frit Valg af Bøger, besluttede jeg atoprettenets Leie Bibliothek i Hobro, som bestaaer af Bøger, der meest egner sig til Moerskabslæsning, og som vil blive forøget med de nyeste Skrifter, saasnart jeg ved et Antal Abonnenter, seer mig nogenlundenskadesløs. Ombytningen af Bøger skeer daglig, og de øvrige Conditioner kan paa Forlangende erholdes. - Man Hobro, den 18de December 188. St. M. Cramersons Muldkommet ere Materialier til Hovedregning paa fastGrund og efter sikker Plan med Gjenvele og Nemheder, isærsk med Hensyn til Landsbyskolernes øverste Classe og til Selvøvelse, af Skolelærer C. Gottschalk, indb. 1 Rbd. Bogen, der er fordeelagtig anbefalet, som Skolebog, og 1 trykt med Kongelig allernaadigst Understøttelse, har i alSlags Maal og Vægt over 12000 enkelte Exempler med tilføiede Faciter. Dhrr. Provster og Præster samt hans Medlærere anmodes om gunstigt og godhedsfuld at andens de Mammens fale ovennævnte. Den faaes hos Boghandler Rottbøll, Sadolin."
226089,aal_141157,1840-09-21,"I 5te Classe af det 93de Kongelige Klasselotteri er i Undertegnedes Collection udkommet Amben 29-206 med Gevinst 50 Rbd., foruden endeel Frilodder for de Sedler, hvis Baatal alene ere udkomne. Fornyelsen til 6te Classe, maatte behagentligen skee inden 13de October næstkommende. Nye Lodsedler a 25 Rbd. erholdes : Aalborg, den 21de September 1810. Bech. To levende Beder ønskes tilkjøbs. . Stiftsbogtrykkeriet anviser."
532760,vib_017415,1813-04-12,"Aalborg, d. 6te April. Efter Forlydende er sidste Fredag den 2den April, den største Deel af Hovedbygningen af Herregaarden Anstrup i Vensyssel, ved en ulykkelig Jldebrand lagt i Aske. Efter Vedkommendes derom indgivne Begjæring, har General=Postdirektionen besluttet, at Betalingen for det af Kammerraad og Landvæsens Commissair Just i Viborg udgivende Blad, Viborg Samler, skal fra indeværende Qvartals Begyndelse og indtil videre erlægges af Abonnenterne i Stiftet med 2 Rbdlr. 80 sk. og af Abonnenterne udenfor Stiftet, med 3 Rbdlr. pr. Sæt aarlig, hvilket herved til almindelig Efterretning bekjendtgjøres. Generalpostdirectionen, den 3die April 1813."
