,text,article_id,clean_category
14,"Optaget. Tirsdagen den 3die December d. A. er paa Mariboe Ladegaards Marker optaget en sort Hosplag, som kan imod Opbringelses-Penge, samt paafølgende Omkostninger og dette Avertissements Bekostning af sin Eier, inden førstkommende Mandag den 16de afhentes. J Mangel heraf bliver den ved offentlig Auction bortsolgt bemeldte Dag. Mariboe Ladegaard den 10de December 1811. Lars Hansen Møller, Skovfoged.",lol_07760,Bekjendtgjørelser
15,"Formedelst anden Bestemmelse er i Nakskov en solid Gaard, beliggende paa Byens Torv med Udkjørsel til Stranden, og særdeles vel indrettet til Handel, Korn=Oplag, Gjæstgiverie, Brænderie og Bryggerie, tilligemed et nyt Brændeviins-Værkog dertil hørende betydelige Inventarium, at erholde tilkjøbs paa billige Vilkaar. Forhuset, som er 10 Fag, 2 Etager høit foruden Kjelderen, har en Deel gibsede Værelser, Krambod, m.v. Foruden betydelige Kornlofter, Pakhuse, Brænderiet med en Kølne til 10 Tdr., Stalde og Udhuse, ialt circa 50 Fag, er til Stedet et nyt Kornhuus 4 Lofter høit, Til Eiendommen hører circa 13 Tdr. Land i Byens Mark. Den halve Kjøbesum kan forhaabentlig blive indestaaende i Eiendommen; denne paavises af Hr. Kjøbmand S. T. Jessen, som ogsaa meddeler nærmere Oplysninger.",lol_76206,Bekjendtgjørelser
16,"De Lande, Stæder og Øer, som, efter de sidste til Directionen indkomne officielle Beretninger, indtil videre ansees for smittede, ere: 1) Af Cholera: a) Hamborg. b) Altona. c) Aabo, d) Hang ud, e) Helsingfors, f) Viburg, i Finland, g) Stettin.) Reval. i) Kønigsberg. K.) Elbing. 1) Memel. 1) St. Petersborg. 1) Kronstad. 6) Danzig. p.) Archangel. 4) Alexandrien; og 2) Af andre pestartige Sygdomme: a) Constantinopel. b) Algier. c) Tunis. d) Marocco. e) Smyrna. f) New Orleans. 8) Øen Candia. For mistænkte Havne og Stæder ansees indtil videre 1) Med Hensyn Cholera: a) Alle øvrige russiske Havn ved Østersøen og det hvide Hav. b) Alle øvrige preussiske Havne. c) Alle mecklenborgske og lybeckske Havne. d) Alle øvrige holsteenske Havne, med Undtagelse af Kiel. 2) Med Hensyn til andre pestartige Sygdomme, a) Alle tyrkiske Havne, med Undtagelse af de som smittede foranførte. b) Det africanske Barbaries øvrig Havne og Stæder. c) De vestindiske Øer. Dog skulde fra de danske vestindiske Øer ankommende Skilkunne befries for at lægges under Qvarantaine, saafrende foruden Sundhedspas medbringe behørige, af Vedkommende under Embedsauthoritet udstædte, Sundhed, attester. d) Nord-America. Dog fritages de fra disse Havne ankommende Skibe for Qvarantaine, saafrende foruden Sundhedspas ere forsynede med behørSundhedsattester fra de derværende kongelige danske Cosuler, eller disses Vice-Consuler. – Alle andre LandStæder og Øer, i og udenfor Europa, blive at ansksom aldeles umistænkte.",lol_65416,Bekjendtgjørelser
17,"Huset bestaaer af 5 Fag Forhuus og 3 Fag Baghuus med tilhørende Grund. Conditionerne ere til Eftersyn her paa Contoiret. Nykjøbings Byfogedcontoir, den 7de Juli 1832. J Hr. Justitsraad Møllers Fraværelse Lindholm, const.",lol_67565,Bekjendtgjørelser
18,"Jfølge herom taget Bestemmelse blive de Kjøbmand Preter Kronmanns Fallitboe tilhørende faste Eiendomme nema. Gaarden Matr. Nr. 7475, paa denne Byes Søndergade, bestaaende af 11 Fag Forhuus, Grundmuur, 2 Etager høit, der afgiver en smuk og beqvem Beboelse for een eller to Familier udenfor Borgerklassen, et Sidehuuspaa 9 Fag, af Muur= og Bindingsværk, indrettet til Vognremisse, Lo og Lade, et Baghuus paa 14 Fag Muurog Bindingsværk, indrettet til Stald, Brænderie m.v., med en dertil liggende smuk Hauge paa 1/2 Td. Land, og et Vænge paa 8 Tdr. Land, og b. Huset Matr. Nr. 78 paa samme Gade, bestaaende af et Forhuus paa 8 Fag Muur= og Bindingsværk, indrettet til Beboelse, og et Halvtag til Pakhuus. opbuden til Salg ved 3de Auctioner som afholdes i Stederne selv, Løverdagen den 27de Februar den 12te Marts og 2den April førstkommende, hver Dags Formiddag, over den førstnævnte Eiendom Kl. 10, og over den anden Kl. 11. Conditionerne ere forinden første Auction, til Eftersyn hos Undertegnede.",lol_76596,Bekjendtgjørelser
19,"Montagne. Tilkjøbs. Hos Undertegnede ere Bine ne 4 A. i følgende PriserRod Viin (Medor) i Gammel fr. Viin, bedste Sort 4 – 8 . . 4 Mk. 8 s. Fl. Ringere Dito . . 4 – – St. Jalien Chat. Margeaur . . 6 – 8 – . . . 6 – - Bedste Margeaux . . 6 – 8 – Ringere Margeaux . . 6 – Picardon . . . 4 – 8 – Ung fransk Viin - 4 – Por Extra gammel rhinsk Viin . 10 – – FlaDrey Madera . . . 12 – . - Port Viin . . - - 10 – . - Mallaga . . . . 7 – - Graves Viin . . . 7 – - - Rød Champagne . . 25 – - Hvid Dito . . . 22 - . - Gammel Cognac = = 12 - . - Arac. . 12 – . - Extra gammel Rom . . 15 – - - Gammel Rom . . . 6 – – Simpel Dito . . . 5 – Fransk Brændeviin . 9 – . - Pot. Fransk Viinedike, første Sort 3 – 12 - Dito, 2den Sort . . 3 – - Simpel Eddike = = 1 – 8 Boutellie Propper) Langkork Des J skønske 6 – . . 12 - . - Tillige kan bekommes: ægte engelsk Sennop paheele, halve og qvart Glas, fransk Sennop i Kriker, Bengalsk Soya, Oliven, Capres, franske sylte Augurker, extra fiin Provenceolie, Citroner, ConseiRosiner, Krokmander, Katrineblommer, Figen, holandsk Ost, tørre Kil bær med flere Urtekramvahr samt alle Slags Maler- og Farvevahre, saa hvide og gule Voxlys, Nyekjøbing Apothek. L. Mohr.",lol_25001,Bekjendtgjørelser
20,Steenkalk kan faaes ved Berritsgaards Teglværk den 25de og 26de April.,lol_63903,Bekjendtgjørelser
21,"Egeløv, i Administrationen for de kongelige falsterske Godser, den 6te October 1831. Rosenkilde.",lol_65246,Bekjendtgjørelser
22,Conditionerne kunne forinden Auctionerne erfares paa mit Contoir.,lol_60752,Bekjendtgjørelser
23,"Bekjendtgjørelser. En Embedsmand i Nakskov har flere Aar have endeel Penge tilgode hos en Muss i Rødbye, uden at han har indfunden sig med Betaling. Han advares derfor herved - thi han vil vist finde sig truffen - at indfinde sig med Betaling i førstkommende 11de Junii Termin, og inden den 18de. J Mangel heraf maae han vente sig offentlig bekjendtgjort i Avisen, til Advarsel for andre. Efter Forlangende af Hr. Apotheker Thune i Saxkjøbing examinerede jeg den 7de d. M., i Følge Cancellie-Skrivelse af 9de Februari dette Aar, hans Discipel Niels Christian Poulsen, og fandt hans Svar paa de givne Spørgsmaale saa rigtige, og hans Kundskaber i hans Videnskab saa modne, at jeg har meddeelt ham den i bemeldte CancellieSkrivelse befalede Attest om hans Duelighed til at kunne i Principalens Fraværelse eller Forfald forestaae et Apothek. Mariboe den 11te Junii 1811.",lol_06233,Bekjendtgjørelser
24,"Jndkaldelser. Arvingerne og Creditorerne i Stervboet efter Arvefæste Parcellist Peder Larsen Bonde og Hustrue Cathrine Jørgensdatter af Lommeløv By paa Falster indkaldes herved, i Følge Placaten af 26de October 1792 og Forordningen af 5te Juli 1822, med 12 Ugers Varsel, de Første for at godtgjøre deres Arveret og de Sidste for at bevise deres Fordringer paa Boet for undertegnede competente Skifteforvalter efter de Afdøde. Corselitze, den 13de Juni 1832. P. Andersen.",lol_67348,Bekjendtgjørelser
25,"De altsaa, som have Sønner eller Myndlinge, hvilke de i dette Efteraar agte at sætte i Nakskov latinske Skole, ombedes, snarest mueligt, at ville desangaaende tilstille mig den befalede Anmeldelse. Rakskov den 31te Julii 1810.",lol_03625,Bekjendtgjørelser
26,"Tilkjøbs. Paa Pederstrup kan bekommes 2 Aars Granplanter, for 3 Rbmk. Tegn pr. 100.",lol_39125,Bekjendtgjørelser
27,"Bekjendtgjørelser. 100 Rigsbankdaler Sølv, udloves som Belønning for den, der maatte være i Stand til at meddele nogensomhelst fyldestgjørende Oplysning om det, imellem den 22de Februar og 2den dennes, paa det kongelige Toldbodpakhuus i Nakskov forøvede og med Jndbrud forbundne Tyveri, hvorved er bortstiaalen 25 Stkr. forskjelligt Klæde, 4 Stkr. Bomuldstøi, 5 1/2 Aler bruunt Bomuldsfløiel, 33 1/2 Alen sort Bombasin, en Sækhvori en Deel Alenvare, samt et hvidt Lommetørklæde, med omtrent 3 Pd. guult Vox. Anmelderen, der forøvrigt forsikkres Navnets Fortielse, vilde behage at henvende sig til Toldinspecteuren i Nakskov.",lol_60484,Bekjendtgjørelser
28,"Hvilket, til Liebhavernes Efterretning, og i Forbindelse med den skeete Bekjendtgjørelse om Boets øvrige faste Eiendommes Salg, herved bringes til offentlig Kundskab. Nakskov, den 17de Februari 1819. Pontoppidan, Auctions-Direkteur.",lol_25585,Bekjendtgjørelser
29,"Tilkjøbs. En, omtrent halvanden Miil fra Nykjøbing og i Nærheden af Hovedlandeveien beliggende Hovedparcel, med vel vedligeholdte Bygninger og et Areal af circa 35 Tdr. Land fortrinlig Agerjord og en god Eng, af Hartkorn 4 Tdr. 3 Skpr. 1 Alb., er paa fordeelagtige Vilkaarunderhaanden at erholde tilkjøbs, naar Man derom vil behage at henvende sig til Undertegnede, hos hvem Conditionerne erfares. Nykjøbing, den 6te Juni 1833. C. Tidemand. Sommerkasketter kan nu faaes hos M. D. M. D. Brabrand. God dansk Sennop kan bekomNakskov, mes hos C. Fogh.",lol_69961,Bekjendtgjørelser
30,"Nogle Halvtønder Ævre, ligesom dette Aar indslaaet Vintersmør, sælges afKrænkerup den 22de Februarii 1814. Chrenreich.",lol_12874,Bekjendtgjørelser
31,"Berget. J de første Dage af forrige Aars Novbr. Maaned er indrevet og opbierget til Kastager Strand i Uttersløv Sogn, Lollands Nørre-Herred, en gammel Baad af Egeplanker med Roer, paa 8 Bords Høide, uden noget Kjendemærke. J Følge Amtets Skrivelse til mig af 21de f. M., og i Overeensstemmelse med Forordningen af 12te Marti 1794, bliver herved med Aar og Dags Varsel sub poena præclusi et perpetui silentii, indkaldet ovennævnte Baads Eier at melde sig hos mig og beviisliggiøre sin Eiendoms=Ret, Halsted i Lolland, den 5te Januari 1810. Dons, Krigsraad og Birkedommer:",lol_02046,Bekjendtgjørelser
32,"For Brandskader. er udbetalt i samme Qvart. i rede Sølv 7,279 Rbd. 94 s. Den løbende Risque var den 31te Decbr. f. A. i rede. Sølv. . . . . 5, 857,045 Rbd. - s.",lol_38483,Bekjendtgjørelser
33,"En Handelsbetjent som kan producere de bedste Anbefamalinger om sin Duelighed og Opførsel, og som har lært saavel Manufactur, som Colonial=Handel, ønsker sig en Condition enten strax eller til 1ste Mai. Om Bogholderie skulde behøves, er han øvet i samme. Reflecterende ville behage at aflægge en Billet paa Adressecontoiret Mk. T. A.",lol_76177,Bekjendtgjørelser
34,"Nyested Byefoged-Contoir, den 27de August 1817. Prom.",lol_21069,Bekjendtgjørelser
35,Fordringer. Gloslunde den 24de Decbr. 1837. H. Møller. Tirsdagen den 2den Januar udgaaer intet Nummer af denne Tidende.,lol_82315,Bekjendtgjørelser
36,"De ædle Mennesker, som ved det sørgelige Uheld der Natten den 6te d. M. tilstødte mig, saa velvilligen ilede mig til Hjelp, og ligesom kappedes om at redde mit Gods fra de fortærende Luer, der ved deres Ankomst allerede saaledes havde grebet om sig, at alt syntes at være forlorent, bevidner jeg herved min inderlige Taksigelse. De mange Beviser, jeg ved denne Leilighed modtog paa Medborgeres Hengivenhed og virksomme Deeltagelse, blive mig evig uforglemmelige. At jeg mod Vinterens Ubehagelighed, beholdt Huusly for mig og Mine, og at jeg ikke midt i min Ulykke blev en aldeles ødelagt Mand, skyldes Brandvæsenets roesværdige Bestræbelser, fra hvis Side alt, hvad Menneskehaand formaaer, gjordes for at standse Jldens Voldsomhed. Hr. Lieutenant v. Schulthes og Hr. Kjøbmand F. Engel, der først bleve Jlden vaer, og som begge ved deres hastige Nærværelse og modige Anstrængelse biedroge saa saare meget til at redde for mig endog paa farligste Steder, er jeg usigelig forbunden. - Stort og føleligt er det Tab, jeg har lidt. Kun Haabet om, ved ædelsindede Medborgeres Bistand, og egen fornyede Virksomhed engang igjen at see det oprettet, styrker for Tiden mit synkende Mod, og indgyder mig Trøst i min ublide Skjæbne. Nakskov den 21de Januarii 1814 Grandjenn.",lol_12596,Bekjendtgjørelser
37,"Bekjendtgjørelser. Hvor et Partie Stude, Gol eller andet Ungqvægaf 50 Stkr. og derover, kan blive foret i Vinter mod billig Betaling, derom giver Addresse-Contoiret Efterretning.",lol_04184,Bekjendtgjørelser
38,"Løverdagen den 19de ds., Formiddag Kl. 10, lader Maler Benzon ved offentlig Auction i sin Gaard her i Byen bortsælge en Deel Løsøre, bestaaende af en udmærket god Riffel med Kikkert og Kugleform, en nye damasceret Hagelbøsse med Percussionslaas, en Snelle til en Riffel, et stort Spisebord, en Deel tørre Planker af Eeg og Fyr, nogle Speile, Ankere, Solhætter, Landkort, Oliemalerier, udmærkede Kobberstykker efter bekiendte Malerier, Bøger, hvoriblandt nyeste MeubelMagazin for Snedkere, samt en ny Beitzebog, m. m., paa de Conditioner, som ved Auctionen ville blive bekjendtgjorte, og hvoriblandt, at vederhæftige Kjøbere, kunne erholde Credit til 1ste Decbr. d. A. Lysthavende indbydes.",lol_70819,Bekjendtgjørelser
39,"Nyekjøbing, i Administrationen for de Kongelige Falsterske Godser, den 10de April 1813.",lol_10955,Bekjendtgjørelser
40,"De vigtigste indenlandske Tildragelser og de mærkeligste Personers Levnetsbeskrivelser, fra de ældste Tider til vore Dage. En Læse- og Lærebog i Fædrelandets Historie, for Begyndere og Ustuderede, ved F. Munthe. Kbh. 1813. 4 Rbd. indb.",lol_15590,Bekjendtgjørelser
41,Givet i Vor Kongelige Residents=Stad Kjøbenhavn den 16de November 1829.,lol_59722,Bekjendtgjørelser
42,"Aar 1838 den 30te Mai, blev inden Nykjøbings Politiret i Sagen. N. Huusmand Niels Jeppesen af Marebek contra Slagtermester Buch af Nykiøbing. for verballe Jnjurier, Saaledes kjendt for RetDen under denne Sag af Jndklagede Slagter Buch, mod Klageren, Huusmand Niels Jeppesen af Marebek fremførte Beskyldning om, at han har frastiaalet ham et Lommeuhr, mortificeres, og bor Jndklagede at betale en Mulct til Nykiøbings Fattigkasse af To Rigsbankdaler Sølv, og til Klageren denne Sags Omkostninger med Tre Rbd. Sedler. At efterkommes inden 3de Solemærker efter denne Domslovlige Forkyndelse under Adfærd efter Loven. Møller. Udskriftens Rigtighed bekræfter. Møller. En confirmeret Dreng, der besidder nogen Færdighed i Regning og Skrivning, kan til 1ste November dette Aar, paa sædvanlige Vilkaar, blive antaget som Handelslærling hos Kjøbmand J. N. Scheel i Stubbekiøbing, naar Vedkommende snarest muligt derom henvende sig til ham.",lol_84281,Bekjendtgjørelser
43,"Conditionerne for Christiansholms Bortforpagtning den 31de Juli i Grevskabets Tinghuus, faaes til Eftersyn hos Kjøbmand Knudsen i Mariboe fra den 20de Juli af.",lol_23709,Bekjendtgjørelser
44,"Jndkaldelser. Creditorerne efter følgende under Mariebo Kjøbstads Jurisdiction afdøde Personer, nemlig: 1. Vævermester Jørgen Hansen Meier i Marieboog 2. Skovfoged Ole Rasmussen af Bangshave, indkaldes herved med tolv Ugers Varsel til for mig at anmelde og beviisliggjøre deres Fordringer. Mariebo Skifteret, den 4de Marts 1833. Valentin. De, som have Noget at fordre i Stervboerne efter: 1. d. Henrik Rasmussen Trane i Kieldernæs, 2. Pigen Grete Frederiksdatter i Stokkemarke og 3. Tjenestekarl Ole Johnsen i Holeby, under Grevskabet Knuhtenborgs Skiftejurisdiction, indkaldes herved med 12 Ugers Varsel til derom at melde dem for mig, som committeret Skifteforvalter. Knuhtenborg, den 7de Marts 1833. Gram. Creditorerne i afgangne Jndsidder Søren Rasmussens Bo af Vestenborg Søhuse indkaldes herved, med tolv Ugers Varsel, at anmelde og bevise deres Fordringer for mig, som Skifteforvalter. Ligeledes indkaldes den Afdødes Arvinger, med anordnet Varsel, at anmelde og bevise deres Arveret. De ere opgivne at være tre Døttre. Christiane, givt i Fuglse, og Maren og Kirsten, opholdende sig i Kjøbenhavn, Gothersgaden No. 138, i Stuen. Nykjøbing paa Falster, den 5te Marts 1833. Møller.",lol_69286,Bekjendtgjørelser
45,"Tilkjøbs. Hos mig Undertegnede kan bekommes nogle Lpd. godt fundt Raigræs til Sæd, Sædingegaard den 26de April 1811.",lol_05901,Bekjendtgjørelser
46,"Termohlen. Forvalter. Mariboe Bogsamlings Jndtægt og Udgivt fra 11te Junii 1813 til 11te Junii 1814. JndtægtAf Subskribenterne betalt til 11te Junii . . 251 Rbd. - Mk. 8 s. Af nye Subskribentere. . 39 Leie af Bøger . . . . . . 3 – 4 – 14 – Mulcter. . . . . . 8 – 6 - Jndkomne Restancer . . . 95 – 5 – – Forrige Aars Cassebehold. 22 – - 12 - Summa Jndtægt 420 Rbd. 5 Mk. 2 s. Udgivt. Betalt Hr. Randrup en Regning, No. 1. . . . . 2 Rbd. - Mk. - s. 3 Hefter af Antiqvariske Annaler, No. 2. . . . . 8 – 2 - . - For Comoedien Hugo v. Rheinberg . . 2 –3 – . - Hr. Randrup en Regning, No. 3 111 - 5 - 6 - Bogbinder Østerries, No. 4. - 8 - 1 - . - Roussenus Emil, paa Fransk, Nr. 5. . . . . 2 Rbd. ""Mk. 11 1/2 s. Rückzug der Franzosen. Hr. Randrup en Regning, No. 6. 6 – – Bogb. Østerries en dito, No. 7. 10 – 1 – – Provst Sidenius en dito, Nr. 8 11 – . – . - Hempel en dito, No. 9 . 25 – – . Et nyt Bogskab, No. 10. 56 – . – . – Hr. Schulz, for Bogen. det befriede Jstal, No. 11. 4 – 1 - Cassebehold. . . . . . 171 – 5 – Summa Udgivt 420 Rbd. 5 Mk. 2 s.",lol_14154,Bekjendtgjørelser
47,"Priser. Mariboe, den 5 Januari 1824. J. Henrichsen. Hos mig kan nu bekommes godt Malt til billig Priis, jeg er og villig til at modtage Byg i Ombytning, naar Samme leveres forsvarlig godt. Mariboe, den 5 Januari 1824. J. Henrichsen. God Punschextract med Sukker faaes hos H. C. Krøyer.",lol_41220,Bekjendtgjørelser
48,"Tillige bekjendtgjøres herved, at endeel Creature kan tages paa Foder her paa Gaarden, i tilstundende Vinter. Hvoe som ønske at entrere heri, ville inden 8te Dage henvende dem til mig Undertegnede, for at erfare Conditionerne.",lol_14324,Bekjendtgjørelser
49,"Hvilket herved foreløbigen bekjendtgjøres. Ny=Kirstineberg pr. Nykjøbing paa Falster, den 2den Januar 1834. Øllgaard.",lol_71481,Bekjendtgjørelser
50,"Capital, som anbydes. 1200 Rdlr. Dansk Courant af Fattigvæsenets Midler i Utterslev Sogn kan strax mod lovbefalet Sikkerhed og Obligation i Rigsbankpenge Sølv-Værdie udlaanes; man henvender sig derom til Hr. Forpagter Nielsen paa Winthersborg.",lol_12510,Bekjendtgjørelser
51,"Bekjendtgjørelser. Ondskabsfulde Mennesker have udspredt det nederdrægtige Rygte, at Hr. Kjøbmand Henrichsen heri Mariboe skal have fravendt mig 1000 Rbd. Dette erklæres herved for aabenbare Digt. Boeck, Mariboe, den 29de Juli 1825. Consistorialraad.",lol_46067,Bekjendtgjørelser
52,"Jessen, Licitation. Onsdagen den 23de Martii, om Formiddagen Kl. 11, bliver paa Grevskabet Christiansholms Tingstue holdt Licitation over en nye Skolebygnings Opførelse paa Stubberup Mark, efter de der bekjendtgjørende Conditioner. Christiansholm den 5te Martii 1814.",lol_12931,Bekjendtgjørelser
53,"Addressecontoiret. Tjeneste ledig. En Dreng af honette Forældre, og som har Lyst til at lære Handelen, kan strax blive antaget, Addresse-Contoiret anviser.",lol_41714,Bekjendtgjørelser
54,"Alle andre Lande, Stæder og Øer, i og udenfor Enropa, blive at ansee som aldeles umistænkte.",lol_10231,Bekjendtgjørelser
